"",BBFB1.Q.N.DE.IT.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:46,
1991-01,8079.343,
1991-04,8170.666,
1991-07,7552.326,
1991-10,8455.567,
1992-01,8841.232,
1992-04,8589.349,
1992-07,7787.801,
1992-10,7753.509,
1993-01,6552.486,
1993-04,6320.554,
1993-07,5539.893,
1993-10,6202.119,
1994-01,6618.920,
1994-04,7166.632,
1994-07,6208.061,
1994-10,7048.706,
1995-01,7633.407,
1995-04,7660.074,
1995-07,6910.429,
1995-10,7744.788,
1996-01,8156.260,
1996-04,7824.099,
1996-07,7195.122,
1996-10,7916.458,
1997-01,8044.331,
1997-04,8774.017,
1997-07,7840.021,
1997-10,9078.567,
1998-01,9214.342,
1998-04,9830.406,
1998-07,8425.227,
1998-10,9244.239,
1999-01,9512.170,
1999-04,10294.089,
1999-07,9138.701,
1999-10,10762.529,
2000-01,11215.102,
2000-04,11889.420,
2000-07,11001.614,
2000-10,12870.709,
2001-01,12900.275,
2001-04,12516.405,
2001-07,11380.274,
2001-10,12187.084,
2002-01,11719.964,
2002-04,12721.186,
2002-07,11324.116,
2002-10,12346.113,
2003-01,12458.627,
2003-04,12252.790,
2003-07,11375.118,
2003-10,13201.480,
2004-01,13248.244,
2004-04,13415.762,
2004-07,12344.144,
2004-10,13410.244,
2005-01,13386.394,
2005-04,14296.620,
2005-07,12966.450,
2005-10,14823.346,
2006-01,15472.836,
2006-04,15626.596,
2006-07,14191.794,
2006-10,15479.545,
2007-01,16820.326,
2007-04,17416.036,
2007-07,15542.581,
2007-10,16851.642,
2008-01,16322.863,
2008-04,17044.245,
2008-07,15317.723,
2008-10,14649.727,
2009-01,13173.510,
2009-04,12762.165,
2009-07,12734.023,
2009-10,13877.568,
2010-01,14185.360,
2010-04,15599.472,
2010-07,14539.275,
2010-10,16646.389,
2011-01,17112.666,
2011-04,17110.028,
2011-07,15316.857,
2011-10,15208.324,
2012-01,15166.435,
2012-04,15250.681,
2012-07,12816.251,
2012-10,13550.760,
2013-01,14471.437,
2013-04,14356.674,
2013-07,13171.148,
2013-10,13689.745,
2014-01,14658.319,Provisional value
2014-04,14515.481,Provisional value
2014-07,13803.784,Provisional value
