"",BBK01.OEXO04H,BBK01.OEXO04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:52,
2002-01,-0.039,
2002-04,-0.171,
2002-07,-0.023,
2002-10,-0.004,
2003-01,-0.042,
2003-04,-0.052,
2003-07,0.063,
2003-10,0.050,
2004-01,-0.023,
2004-04,0.430,
2004-07,0.224,
2004-10,0.332,
2005-01,0.368,
2005-04,0.223,
2005-07,0.182,
2005-10,0.071,
2006-01,-0.029,
2006-04,-0.090,
2006-07,-0.173,
2006-10,-0.214,
2007-01,0.091,
2007-04,-0.001,
2007-07,-0.087,
2007-10,0.128,
2008-01,0.003,
2008-04,-0.118,
2008-07,-0.067,
2008-10,0.850,
2009-01,0.196,
2009-04,0.078,
2009-07,0.287,
2009-10,-0.075,
2010-01,-0.306,
2010-04,-0.102,
2010-07,0.095,
2010-10,1.037,
2011-01,0.732,
2011-04,-0.101,
2011-07,0.090,
2011-10,0.966,
2012-01,0.691,
2012-04,0.012,
2012-07,-0.138,
2012-10,-0.374,
2013-01,-0.353,
2013-04,-0.644,
2013-07,-0.370,
2013-10,-0.451,
2014-01,-0.498,
2014-04,-0.255,
2014-07,0.197,
