"",BBK01.OECB24I,BBK01.OECB24I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:07,
2002-01,0.558,
2002-04,0.550,
2002-07,0.547,
2002-10,0.541,
2003-01,0.538,
2003-04,0.537,
2003-07,0.530,
2003-10,0.506,
2004-01,0.506,
2004-04,0.501,
2004-07,0.499,
2004-10,0.484,
2005-01,1.607,
2005-04,1.268,
2005-07,1.272,
2005-10,1.180,
2006-01,0.990,
2006-04,0.892,
2006-07,0.710,
2006-10,0.630,
2007-01,0.611,
2007-04,0.608,
2007-07,0.587,
2007-10,0.584,
2008-01,0.554,
2008-04,0.505,
2008-07,0.459,
2008-10,0.421,
2009-01,0.363,
2009-04,0.345,
2009-07,0.337,
2009-10,0.317,
2010-01,0.285,
2010-04,0.278,
2010-07,0.826,
2010-10,0.826,
2011-01,0.739,
2011-04,0.721,
2011-07,0.710,
2011-10,0.691,
2012-01,0.680,
2012-04,0.711,
2012-07,0.760,
2012-10,0.738,
2013-01,0.209,
2013-04,0.706,
2013-07,0.363,
2013-10,0.164,
2014-01,0.165,
2014-04,0.158,
2014-07,0.148,
