"",BBK01.CEL702,BBK01.CEL702_FLAGS
"",Other accounts receivable                                              debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:51,
1999-01,8.4,
1999-04,8.2,
1999-07,2.1,
1999-10,11.1,
2000-01,8.6,
2000-04,8.2,
2000-07,25.4,
2000-10,-1.1,
2001-01,11.4,
2001-04,-1.5,
2001-07,-5.9,
2001-10,-8.3,
2002-01,8.4,
2002-04,0.3,
2002-07,5.0,
2002-10,1.6,
2003-01,-2.9,
2003-04,-14.5,
2003-07,7.6,
2003-10,8.5,
2004-01,-5.8,
2004-04,3.4,
2004-07,6.1,
2004-10,-1.9,
2005-01,-10.5,
2005-04,10.5,
2005-07,7.4,
2005-10,11.4,
2006-01,-4.6,
2006-04,10.2,
2006-07,12.5,
2006-10,7.0,
2007-01,-1.6,
2007-04,22.7,
2007-07,19.0,
2007-10,-7.5,
2008-01,3.3,
2008-04,20.5,
2008-07,14.6,
2008-10,21.7,
2009-01,18.7,
2009-04,-73.1,
2009-07,18.2,
2009-10,-14.1,
2010-01,10.3,
2010-04,0.1,
2010-07,12.1,
2010-10,-10.9,
2011-01,-22.2,
2011-04,-11.6,
2011-07,-23.3,
2011-10,38.9,
2012-01,5.8,
2012-04,12.9,
2012-07,30.0,
2012-10,-19.3,
2013-01,14.4,
2013-04,-19.9,
2013-07,-32.5,
2013-10,17.7,
2014-01,-7.8,
2014-04,-3.2,
2014-07,21.8,
