"",BBK01.OELK01V,BBK01.OELK01V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:15,
2002-01,0.623,
2002-04,0.624,
2002-07,0.695,
2002-10,0.725,
2003-01,0.697,
2003-04,0.694,
2003-07,0.714,
2003-10,0.731,
2004-01,0.697,
2004-04,0.677,
2004-07,0.699,
2004-10,0.722,
2005-01,0.667,
2005-04,0.645,
2005-07,0.670,
2005-10,0.710,
2006-01,0.672,
2006-04,0.674,
2006-07,0.716,
2006-10,0.759,
2007-01,0.744,
2007-04,0.761,
2007-07,0.795,
2007-10,0.834,
2008-01,0.798,
2008-04,0.789,
2008-07,0.822,
2008-10,0.888,
2009-01,0.840,
2009-04,0.858,
2009-07,0.901,
2009-10,0.957,
2010-01,0.924,
2010-04,0.943,
2010-07,1.007,
2010-10,1.030,
2011-01,0.970,
2011-04,0.985,
2011-07,1.035,
2011-10,1.084,
2012-01,1.054,
2012-04,1.177,
2012-07,1.262,
2012-10,1.282,
2013-01,1.273,
2013-04,1.315,
2013-07,1.392,
2013-10,1.463,
2014-01,1.449,
2014-04,1.472,
2014-07,1.529,
