"",BBK01.OECB17S,BBK01.OECB17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:56,
2002-01,1.051,
2002-04,1.052,
2002-07,1.053,
2002-10,1.041,
2003-01,1.029,
2003-04,1.036,
2003-07,1.040,
2003-10,1.037,
2004-01,1.026,
2004-04,1.029,
2004-07,1.029,
2004-10,1.008,
2005-01,1.975,
2005-04,2.015,
2005-07,2.061,
2005-10,2.106,
2006-01,2.161,
2006-04,2.198,
2006-07,2.265,
2006-10,2.340,
2007-01,2.381,
2007-04,2.531,
2007-07,2.542,
2007-10,2.559,
2008-01,2.588,
2008-04,2.614,
2008-07,2.698,
2008-10,2.707,
2009-01,2.721,
2009-04,3.238,
2009-07,3.251,
2009-10,3.257,
2010-01,3.271,
2010-04,3.292,
2010-07,3.318,
2010-10,3.229,
2011-01,3.364,
2011-04,3.371,
2011-07,3.381,
2011-10,3.394,
2012-01,3.422,
2012-04,3.443,
2012-07,3.465,
2012-10,3.471,
2013-01,3.503,
2013-04,3.521,
2013-07,3.547,
2013-10,3.582,
2014-01,3.604,
2014-04,3.655,
2014-07,3.708,
