"",BBDP1.M.DE.Y.VPI.C.A00000.I10.L,BBDP1.M.DE.Y.VPI.C.A00000.I10.L_FLAGS
"",Consumer price index / Germany / Calendar and seasonally adjusted / Total,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 16:45:15,
1948-06,20.5,
1948-07,21.4,
1948-08,21.9,
1948-09,22.4,
1948-10,23.3,
1948-11,23.0,
1948-12,23.3,
1949-01,22.9,
1949-02,22.8,
1949-03,22.6,
1949-04,22.4,
1949-05,22.4,
1949-06,22.5,
1949-07,22.2,
1949-08,21.9,
1949-09,21.9,
1949-10,21.9,
1949-11,22.0,
1949-12,21.8,
1950-01,21.2,
1950-02,21.1,
1950-03,20.9,
1950-04,20.8,
1950-05,20.8,
1950-06,20.8,
1950-07,20.6,
1950-08,20.7,
1950-09,20.9,
1950-10,20.8,
1950-11,20.9,
1950-12,21.0,
1951-01,21.2,
1951-02,21.5,
1951-03,22.1,
1951-04,22.3,
1951-05,22.5,
1951-06,22.7,
1951-07,22.6,
1951-08,22.7,
1951-09,22.8,
1951-10,23.2,
1951-11,23.2,
1951-12,23.3,
1952-01,23.3,
1952-02,23.3,
1952-03,23.2,
1952-04,23.0,
1952-05,22.9,
1952-06,22.9,
1952-07,22.7,
1952-08,22.9,
1952-09,22.9,
1952-10,22.8,
1952-11,22.8,
1952-12,22.9,
1953-01,22.8,
1953-02,22.7,
1953-03,22.7,
1953-04,22.7,
1953-05,22.7,
1953-06,22.6,
1953-07,22.6,
1953-08,22.6,
1953-09,22.4,
1953-10,22.4,
1953-11,22.3,
1953-12,22.3,
1954-01,22.3,
1954-02,22.5,
1954-03,22.5,
1954-04,22.5,
1954-05,22.5,
1954-06,22.6,
1954-07,22.6,
1954-08,22.7,
1954-09,22.7,
1954-10,22.8,
1954-11,22.8,
1954-12,22.8,
1955-01,22.8,
1955-02,22.8,
1955-03,22.8,
1955-04,22.8,
1955-05,22.8,
1955-06,22.8,
1955-07,23.1,
1955-08,23.0,
1955-09,23.0,
1955-10,23.2,
1955-11,23.3,
1955-12,23.3,
1956-01,23.2,
1956-02,23.4,
1956-03,23.7,
1956-04,23.6,
1956-05,23.6,
1956-06,23.6,
1956-07,23.6,
1956-08,23.6,
1956-09,23.7,
1956-10,23.6,
1956-11,23.7,
1956-12,23.7,
1957-01,23.7,
1957-02,23.8,
1957-03,23.8,
1957-04,23.8,
1957-05,24.0,
1957-06,24.1,
1957-07,24.2,
1957-08,24.3,
1957-09,24.3,
1957-10,24.3,
1957-11,24.3,
1957-12,24.2,
1958-01,24.4,
1958-02,24.5,
1958-03,24.5,
1958-04,24.7,
1958-05,24.8,
1958-06,24.8,
1958-07,24.6,
1958-08,24.5,
1958-09,24.4,
1958-10,24.5,
1958-11,24.5,
1958-12,24.6,
1959-01,24.6,
1959-02,24.6,
1959-03,24.6,
1959-04,24.6,
1959-05,24.6,
1959-06,24.7,
1959-07,24.8,
1959-08,25.0,
1959-09,25.0,
1959-10,25.0,
1959-11,25.1,
1959-12,25.1,
1960-01,25.0,
1960-02,25.0,
1960-03,25.0,
1960-04,25.1,
1960-05,25.2,
1960-06,25.1,
1960-07,25.1,
1960-08,25.2,
1960-09,25.2,
1960-10,25.3,
1960-11,25.3,
1960-12,25.4,
1961-01,25.4,
1961-02,25.5,
1961-03,25.5,
1961-04,25.5,
1961-05,25.6,
1961-06,25.7,
1961-07,25.8,
1961-08,25.9,
1961-09,25.9,
1961-10,25.9,
1961-11,26.0,
1961-12,26.0,
1962-01,26.2,
1962-02,26.2,
1962-03,26.3,
1962-04,26.4,
1962-05,26.5,
1962-06,26.6,
1962-07,26.6,
1962-08,26.6,
1962-09,26.6,
1962-10,26.6,
1962-11,26.6,
1962-12,26.8,
1963-01,26.9,
1963-02,27.2,
1963-03,27.2,
1963-04,27.3,
1963-05,27.2,
1963-06,27.2,
1963-07,27.2,
1963-08,27.3,
1963-09,27.4,
1963-10,27.5,
1963-11,27.5,
1963-12,27.7,
1964-01,27.7,
1964-02,27.8,
1964-03,27.8,
1964-04,27.8,
1964-05,27.8,
1964-06,27.8,
1964-07,27.9,
1964-08,28.0,
1964-09,28.1,
1964-10,28.1,
1964-11,28.2,
1964-12,28.2,
1965-01,28.3,
1965-02,28.3,
1965-03,28.4,
1965-04,28.5,
1965-05,28.6,
1965-06,28.8,
1965-07,28.9,
1965-08,29.0,
1965-09,29.1,
1965-10,29.2,
1965-11,29.3,
1965-12,29.4,
1966-01,29.4,
1966-02,29.5,
1966-03,29.6,
1966-04,29.8,
1966-05,29.8,
1966-06,29.8,
1966-07,29.9,
1966-08,30.0,
1966-09,30.0,
1966-10,30.1,
1966-11,30.2,
1966-12,30.2,
1967-01,30.2,
1967-02,30.2,
1967-03,30.2,
1967-04,30.2,
1967-05,30.3,
1967-06,30.4,
1967-07,30.4,
1967-08,30.4,
1967-09,30.5,
1967-10,30.5,
1967-11,30.5,
1967-12,30.4,
1968-01,30.7,
1968-02,30.7,
1968-03,30.7,
1968-04,30.7,
1968-05,30.7,
1968-06,30.8,
1968-07,30.8,
1968-08,30.9,
1968-09,30.9,
1968-10,31.0,
1968-11,31.1,
1968-12,31.1,
1969-01,31.1,
1969-02,31.2,
1969-03,31.2,
1969-04,31.3,
1969-05,31.4,
1969-06,31.4,
1969-07,31.4,
1969-08,31.5,
1969-09,31.5,
1969-10,31.6,
1969-11,31.7,
1969-12,31.8,
1970-01,32.0,
1970-02,32.1,
1970-03,32.2,
1970-04,32.3,
1970-05,32.3,
1970-06,32.4,
1970-07,32.5,
1970-08,32.6,
1970-09,32.7,
1970-10,32.8,
1970-11,32.9,
1970-12,33.1,
1971-01,33.3,
1971-02,33.5,
1971-03,33.7,
1971-04,33.9,
1971-05,34.0,
1971-06,34.1,
1971-07,34.3,
1971-08,34.4,
1971-09,34.6,
1971-10,34.7,
1971-11,34.8,
1971-12,35.0,
1972-01,35.1,
1972-02,35.3,
1972-03,35.4,
1972-04,35.5,
1972-05,35.7,
1972-06,35.8,
1972-07,36.1,
1972-08,36.3,
1972-09,36.7,
1972-10,36.8,
1972-11,37.0,
1972-12,37.2,
1973-01,37.4,
1973-02,37.5,
1973-03,37.8,
1973-04,38.0,
1973-05,38.3,
1973-06,38.5,
1973-07,38.7,
1973-08,38.9,
1973-09,38.9,
1973-10,39.3,
1973-11,39.7,
1973-12,40.1,
1974-01,40.1,
1974-02,40.4,
1974-03,40.6,
1974-04,40.7,
1974-05,41.0,
1974-06,41.2,
1974-07,41.4,
1974-08,41.6,
1974-09,41.8,
1974-10,42.0,
1974-11,42.3,
1974-12,42.4,
1975-01,42.6,
1975-02,42.8,
1975-03,43.0,
1975-04,43.2,
1975-05,43.5,
1975-06,43.8,
1975-07,44.0,
1975-08,44.0,
1975-09,44.3,
1975-10,44.5,
1975-11,44.6,
1975-12,44.7,
1976-01,44.8,
1976-02,45.1,
1976-03,45.2,
1976-04,45.4,
1976-05,45.5,
1976-06,45.5,
1976-07,45.6,
1976-08,45.8,
1976-09,46.0,
1976-10,46.1,
1976-11,46.2,
1976-12,46.4,
1977-01,46.6,
1977-02,46.7,
1977-03,46.8,
1977-04,47.0,
1977-05,47.1,
1977-06,47.3,
1977-07,47.4,
1977-08,47.5,
1977-09,47.7,
1977-10,47.8,
1977-11,47.9,
1977-12,48.0,
1978-01,48.0,
1978-02,48.2,
1978-03,48.3,
1978-04,48.4,
1978-05,48.5,
1978-06,48.6,
1978-07,48.6,
1978-08,48.7,
1978-09,48.7,
1978-10,48.9,
1978-11,49.0,
1978-12,49.2,
1979-01,49.3,
1979-02,49.5,
1979-03,49.7,
1979-04,50.0,
1979-05,50.1,
1979-06,50.4,
1979-07,50.8,
1979-08,51.0,
1979-09,51.2,
1979-10,51.4,
1979-11,51.6,
1979-12,51.8,
1980-01,51.8,
1980-02,52.4,
1980-03,52.7,
1980-04,52.8,
1980-05,53.1,
1980-06,53.3,
1980-07,53.4,
1980-08,53.6,
1980-09,53.7,
1980-10,53.9,
1980-11,54.2,
1980-12,54.6,
1981-01,54.9,
1981-02,55.2,
1981-03,55.7,
1981-04,56.0,
1981-05,56.2,
1981-06,56.4,
1981-07,56.9,
1981-08,57.2,
1981-09,57.6,
1981-10,57.8,
1981-11,58.1,
1981-12,58.3,
1982-01,58.5,
1982-02,58.6,
1982-03,58.6,
1982-04,58.7,
1982-05,59.2,
1982-06,59.8,
1982-07,60.0,
1982-08,60.1,
1982-09,60.3,
1982-10,60.6,
1982-11,60.8,
1982-12,60.9,
1983-01,60.9,
1983-02,60.9,
1983-03,60.9,
1983-04,61.0,
1983-05,61.2,
1983-06,61.4,
1983-07,61.7,
1983-08,62.1,
1983-09,62.3,
1983-10,62.3,
1983-11,62.3,
1983-12,62.5,
1984-01,62.5,
1984-02,62.7,
1984-03,62.8,
1984-04,62.8,
1984-05,62.9,
1984-06,63.1,
1984-07,63.1,
1984-08,63.1,
1984-09,63.2,
1984-10,63.6,
1984-11,63.7,
1984-12,63.7,
1985-01,63.9,
1985-02,64.1,
1985-03,64.4,
1985-04,64.5,
1985-05,64.5,
1985-06,64.4,
1985-07,64.4,
1985-08,64.4,
1985-09,64.5,
1985-10,64.5,
1985-11,64.7,
1985-12,64.8,
1986-01,64.7,
