"",BBK01.OEBI03L,BBK01.OEBI03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:26,
2002-01,146.609,
2002-04,136.359,
2002-07,134.822,
2002-10,121.543,
2003-01,140.203,
2003-04,133.846,
2003-07,148.881,
2003-10,142.636,
2004-01,136.861,
2004-04,126.093,
2004-07,144.050,
2004-10,165.764,
2005-01,154.660,
2005-04,159.499,
2005-07,169.181,
2005-10,155.292,
2006-01,159.550,
2006-04,160.398,
2006-07,182.860,
2006-10,172.118,
2007-01,172.563,
2007-04,184.725,
2007-07,182.095,
2007-10,201.801,
2008-01,211.449,
2008-04,198.375,
2008-07,200.340,
2008-10,189.904,
2009-01,169.368,
2009-04,165.644,
2009-07,160.701,
2009-10,153.273,
2010-01,148.300,
2010-04,152.589,
2010-07,160.686,
2010-10,182.622,
2011-01,171.861,
2011-04,193.374,
2011-07,185.978,
2011-10,185.855,
2012-01,179.946,
2012-04,182.335,
2012-07,177.684,
2012-10,182.812,
2013-01,190.558,
2013-04,209.132,
2013-07,168.749,
2013-10,182.258,
2014-01,174.968,
2014-04,170.777,
2014-07,184.408,
