"",BBK01.OELL03L,BBK01.OELL03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:53,
2002-01,4.220,
2002-04,4.081,
2002-07,4.026,
2002-10,4.041,
2003-01,3.898,
2003-04,3.658,
2003-07,3.595,
2003-10,3.502,
2004-01,3.382,
2004-04,3.264,
2004-07,3.205,
2004-10,3.286,
2005-01,3.188,
2005-04,3.193,
2005-07,3.183,
2005-10,3.301,
2006-01,3.419,
2006-04,3.399,
2006-07,3.485,
2006-10,3.526,
2007-01,3.821,
2007-04,3.939,
2007-07,4.239,
2007-10,5.013,
2008-01,5.423,
2008-04,5.920,
2008-07,6.063,
2008-10,6.899,
2009-01,6.072,
2009-04,5.069,
2009-07,4.188,
2009-10,3.805,
2010-01,3.596,
2010-04,3.443,
2010-07,3.144,
2010-10,3.370,
2011-01,3.291,
2011-04,3.404,
2011-07,3.548,
2011-10,3.561,
2012-01,3.432,
2012-04,3.187,
2012-07,2.984,
2012-10,2.843,
2013-01,2.651,
2013-04,2.494,
2013-07,2.434,
2013-10,2.452,
2014-01,2.454,
2014-04,2.441,
2014-07,2.301,
