"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.AU.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.AU.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Australia / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:53,
2009-09,56,
2009-10,103,
2009-11,84,
2009-12,73,
2010-01,71,
2010-02,72,
2010-03,82,
2010-04,115,
2010-05,116,
2010-06,129,
2010-07,136,
2010-08,156,
2010-09,180,
2010-10,198,
2010-11,206,
2010-12,210,
2011-01,219,
2011-02,256,
2011-03,296,
2011-04,291,
2011-05,310,
2011-06,315,
2011-07,338,
2011-08,365,
2011-09,356,
2011-10,395,
2011-11,422,
2011-12,491,
2012-01,551,
2012-02,572,
2012-03,523,
2012-04,460,
2012-05,444,
2012-06,451,
2012-07,463,
2012-08,445,
2012-09,488,
2012-10,462,
2012-11,501,
2012-12,507,
2013-01,522,
2013-02,532,
2013-03,548,
2013-04,556,
2013-05,500,
2013-06,584,
2013-07,561,
2013-08,562,
2013-09,565,
2013-10,560,
2013-11,516,
2013-12,499,
2014-01,504,
2014-02,481,
2014-03,500,
2014-04,508,
2014-05,485,
2014-06,522,
2014-07,508,
2014-08,542,
2014-09,533,
2014-10,563,
2014-11,565,
