"",BBFN1.M.DE.N.1.L.AE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / United Arab Emirates,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:52,
1994-12,0.210,
1995-01,0.226,
1995-02,0.237,
1995-03,0.221,
1995-04,0.242,
1995-05,0.201,
1995-06,0.196,
1995-07,0.187,
1995-08,0.194,
1995-09,0.159,
1995-10,0.159,
1995-11,0.131,
1995-12,0.147,
1996-01,0.154,
1996-02,0.145,
1996-03,0.130,
1996-04,0.153,
1996-05,0.151,
1996-06,0.157,
1996-07,0.163,
1996-08,0.163,
1996-09,0.138,
1996-10,0.146,
1996-11,0.153,
1996-12,0.152,
1997-01,0.151,
1997-02,0.160,
1997-03,0.163,
1997-04,0.157,
1997-05,0.163,
1997-06,0.138,
1997-07,0.155,
1997-08,0.155,
1997-09,0.154,
1997-10,0.147,
1997-11,0.170,
1997-12,0.194,
1998-01,0.186,
1998-02,0.195,
1998-03,0.203,
1998-04,0.210,
1998-05,0.239,
1998-06,0.198,
1998-07,0.258,
1998-08,0.247,
1998-09,0.242,
1998-10,0.250,
1998-11,0.258,
1998-12,0.243,
1999-01,0.263,
1999-02,0.267,
1999-03,0.275,
1999-04,0.316,
1999-05,0.287,
1999-06,0.346,
1999-07,0.367,
1999-08,0.362,
1999-09,0.348,
1999-10,0.307,
1999-11,0.349,
1999-12,0.364,
2000-01,0.395,
2000-02,0.427,
2000-03,0.470,
2000-04,0.463,
2000-05,0.469,
2000-06,0.481,
2000-07,0.527,
2000-08,0.426,
2000-09,0.334,
2000-10,0.319,
2000-11,0.379,
2000-12,0.414,
2001-01,0.392,
2001-02,0.416,
2001-03,0.433,
2001-04,0.451,
2001-05,0.425,
2001-06,0.397,
2001-07,0.368,
2001-08,0.440,
2001-09,0.401,
2001-10,0.363,
2001-11,0.396,
2001-12,0.414,
2002-01,0.466,
2002-02,0.475,
2002-03,0.435,
2002-04,0.445,
2002-05,0.449,
2002-06,0.468,
2002-07,0.459,
2002-08,0.470,
2002-09,0.532,
2002-10,0.553,
2002-11,0.566,
2002-12,0.551,
2003-01,0.627,
2003-02,0.674,
2003-03,0.650,
2003-04,0.653,
2003-05,0.648,
2003-06,0.610,
2003-07,0.661,
2003-08,0.670,
2003-09,0.676,
2003-10,0.669,
2003-11,0.663,
2003-12,0.669,
2004-01,0.672,
2004-02,0.690,
2004-03,0.683,
2004-04,0.705,
2004-05,0.728,
2004-06,0.516,
2004-07,0.546,
2004-08,1.165,
2004-09,0.676,
2004-10,0.716,
2004-11,0.717,
2004-12,0.633,
2005-01,0.607,
2005-02,0.648,
2005-03,0.677,
2005-04,0.730,
2005-05,0.769,
2005-06,0.844,
2005-07,0.850,
2005-08,0.821,
2005-09,0.819,
2005-10,0.837,
2005-11,0.898,
2005-12,0.922,
2006-01,0.996,
2006-02,0.987,
2006-03,1.051,
2006-04,1.038,
2006-05,1.140,
2006-06,1.150,
2006-07,1.133,
2006-08,1.204,
2006-09,1.255,
2006-10,1.279,
2006-11,1.167,
2006-12,1.300,
2007-01,1.338,
2007-02,1.424,
2007-03,1.418,
2007-04,1.587,
2007-05,1.608,
2007-06,1.658,
2007-07,1.700,
2007-08,1.836,
2007-09,1.770,
2007-10,1.917,
2007-11,1.911,
2007-12,1.819,
2008-01,1.869,
2008-02,1.860,
2008-03,1.911,
2008-04,2.067,
2008-05,1.989,
2008-06,2.148,
2008-07,2.288,
2008-08,2.333,
2008-09,2.126,
2008-10,2.158,
2008-11,2.068,
2008-12,2.011,
2009-01,2.023,
2009-02,1.974,
2009-03,2.124,
2009-04,2.130,
2009-05,2.239,
2009-06,2.313,
2009-07,2.757,
2009-08,2.910,
2009-09,3.067,
2009-10,3.053,
2009-11,3.214,
2009-12,3.348,
2010-01,3.181,
2010-02,3.338,
2010-03,3.469,
2010-04,3.560,
2010-05,3.589,
2010-06,3.823,
2010-07,3.715,
2010-08,3.696,
2010-09,3.794,
2010-10,3.887,
2010-11,3.871,
2010-12,3.117,
2011-01,3.054,
2011-02,2.992,
2011-03,3.021,
2011-04,3.203,
2011-05,3.266,
2011-06,3.313,
2011-07,3.137,
2011-08,3.244,
2011-09,3.360,
2011-10,3.266,
2011-11,3.372,
2011-12,3.262,
2012-01,3.277,
2012-02,3.088,
2012-03,3.209,
2012-04,3.188,
2012-05,2.690,
2012-06,2.622,
2012-07,2.569,
2012-08,2.686,
2012-09,2.748,
2012-10,2.775,
2012-11,2.863,
2012-12,2.984,
2013-01,3.051,
2013-02,3.020,
2013-03,3.081,
2013-04,3.069,
2013-05,3.017,
2013-06,2.974,
2013-07,2.736,
2013-08,2.836,
2013-09,3.513,
2013-10,2.961,
2013-11,2.926,
2013-12,2.508,
2014-01,2.429,
2014-02,2.479,
2014-03,2.461,
2014-04,2.465,
2014-05,2.496,
2014-06,2.442,
2014-07,1.886,
2014-08,1.932,
2014-09,1.987,
2014-10,1.993,
2014-11,1.961,
2014-12,1.916,
