"",BBK01.PQC354,BBK01.PQC354_FLAGS
"",Lending to domestic enterprises / Total / Big banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:11,
1968-10,10.756,
1969-01,11.488,
1969-04,11.946,
1969-07,12.385,
1969-10,14.161,
1970-01,13.384,
1970-04,13.766,
1970-07,13.629,
1970-10,14.470,
1971-01,14.524,
1971-04,15.288,
1971-07,14.908,
1971-10,16.344,
1972-01,16.091,
1972-04,17.384,
1972-07,17.309,
1972-10,18.802,
1973-01,18.782,
1973-04,18.783,
1973-07,19.792,
1973-10,19.185,
1974-01,19.033,
1974-04,19.929,
1974-07,20.452,
1974-10,21.013,
1975-01,19.408,
1975-04,19.809,
1975-07,19.409,
1975-10,20.504,
1976-01,19.411,
1976-04,20.796,
1976-07,20.241,
1976-10,22.720,
1977-01,21.006,
1977-04,22.691,
1977-07,22.805,
1977-10,24.178,
1978-01,23.143,
1978-04,23.947,
1978-07,24.107,
1978-10,26.337,
1979-01,25.357,
1979-04,26.921,
1979-07,26.506,
1979-10,28.395,
1980-01,27.407,
1980-04,29.092,
1980-07,29.104,
1980-10,31.051,
1981-01,29.596,
1981-04,30.206,
1981-07,29.758,
1981-10,31.001,
1982-01,29.529,
1982-04,30.249,
1982-07,30.117,
1982-10,31.168,
1983-01,28.655,
1983-04,30.311,
1983-07,30.411,
1983-10,31.770,
1984-01,29.837,
1984-04,31.172,
1984-07,31.326,
1984-10,32.502,
1985-01,32.869,
1985-04,33.091,
1985-07,32.702,
1985-10,34.744,
1986-01,34.619,
1986-04,37.651,
1986-07,38.175,
1986-10,39.772,
1987-01,38.899,
1987-04,39.460,
1987-07,41.037,
1987-10,42.043,
1988-01,42.419,
1988-04,44.890,
1988-07,44.417,
1988-10,47.279,
1989-01,48.348,
1989-04,50.320,
1989-07,52.342,
1989-10,55.272,
1990-01,56.402,
1990-04,58.359,
1990-07,61.994,
1990-10,65.164,
1991-01,70.654,
1991-04,75.195,
1991-07,79.835,
1991-10,84.469,
1992-01,84.524,
1992-04,87.117,
1992-07,84.616,
1992-10,85.764,
1993-01,83.740,
1993-04,84.834,
1993-07,85.979,
1993-10,85.116,
1994-01,84.105,
1994-04,83.742,
1994-07,83.892,
1994-10,83.756,
1995-01,85.721,
1995-04,90.525,
1995-07,92.251,
1995-10,93.807,
1996-01,95.965,
1996-04,98.426,
1996-07,98.133,
1996-10,99.902,
1997-01,101.503,
1997-04,104.774,
1997-07,102.644,
1997-10,104.056,
1998-01,104.462,
1998-04,104.600,
1998-07,103.863,
1998-10,108.600,
1999-01,144.569,
1999-04,146.095,
1999-07,141.924,
1999-10,147.750,
2000-01,149.241,
2000-04,155.098,
2000-07,156.867,
2000-10,151.006,
2001-01,153.904,
2001-04,149.663,
2001-07,146.922,
2001-10,145.752,
2002-01,139.463,
2002-04,138.246,
2002-07,136.467,
2002-10,129.053,
2003-01,125.735,
2003-04,123.575,
2003-07,124.839,
2003-10,119.789,
2004-01,117.732,
2004-04,112.921,
2004-07,113.479,
2004-10,123.851,
2005-01,125.897,
2005-04,126.670,
2005-07,134.958,
2005-10,126.148,
2006-01,139.773,
2006-04,141.383,
2006-07,147.853,
2006-10,122.591,
2007-01,140.567,
2007-04,136.992,
2007-07,141.296,
2007-10,136.908,
2008-01,153.156,
2008-04,156.626,
2008-07,155.120,
2008-10,140.265,
2009-01,142.990,
2009-04,142.919,
2009-07,150.285,
2009-10,138.863,
2010-01,135.706,
2010-04,142.877,
2010-07,134.563,
2010-10,133.474,
2011-01,134.190,
2011-04,143.270,
2011-07,142.313,
2011-10,146.340,
2012-01,146.222,
2012-04,151.285,
2012-07,158.431,
2012-10,147.267,
2013-01,160.098,
2013-04,170.657,
2013-07,113.320,
2013-10,110.755,
2014-01,111.845,
2014-04,112.824,
2014-07,112.885,
2014-10,108.262,
