"",BBK01.OEBL06G,BBK01.OEBL06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:45,
2002-01,0.985,
2002-04,0.947,
2002-07,0.807,
2002-10,0.455,
2003-01,0.355,
2003-04,0.320,
2003-07,0.287,
2003-10,0.261,
2004-01,0.243,
2004-04,0.236,
2004-07,0.223,
2004-10,0.216,
2005-01,0.255,
2005-04,0.256,
2005-07,0.271,
2005-10,0.279,
2006-01,0.285,
2006-04,0.302,
2006-07,0.345,
2006-10,0.309,
2007-01,0.316,
2007-04,0.337,
2007-07,0.340,
2007-10,0.401,
2008-01,0.488,
2008-04,0.600,
2008-07,0.654,
2008-10,0.749,
2009-01,0.863,
2009-04,0.741,
2009-07,0.651,
2009-10,0.572,
2010-01,0.589,
2010-04,0.760,
2010-07,0.864,
2010-10,0.943,
2011-01,1.026,
2011-04,1.181,
2011-07,1.255,
2011-10,1.258,
2012-01,1.220,
2012-04,1.245,
2012-07,1.205,
2012-10,1.081,
2013-01,0.932,
2013-04,0.743,
2013-07,0.698,
2013-10,0.673,
2014-01,0.643,
2014-04,0.580,
2014-07,0.490,
