"",BBFN1.M.DE.N.1.L.NZ.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NZ.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / New Zealand,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:54,
1994-07,0.009,
1994-08,0.013,
1994-09,0.015,
1994-10,0.014,
1994-11,0.018,
1994-12,0.021,
1995-01,0.021,
1995-02,0.021,
1995-03,0.019,
1995-04,0.018,
1995-05,0.019,
1995-06,0.018,
1995-07,0.017,
1995-08,0.017,
1995-09,0.013,
1995-10,0.013,
1995-11,0.013,
1995-12,0.016,
1996-01,0.021,
1996-02,0.023,
1996-03,0.025,
1996-04,0.018,
1996-05,0.019,
1996-06,0.020,
1996-07,0.021,
1996-08,0.019,
1996-09,0.016,
1996-10,0.012,
1996-11,0.019,
1996-12,0.024,
1997-01,0.024,
1997-02,0.015,
1997-03,0.020,
1997-04,0.022,
1997-05,0.017,
1997-06,0.015,
1997-07,0.014,
1997-08,0.018,
1997-09,0.021,
1997-10,0.019,
1997-11,0.021,
1997-12,0.020,
1998-01,0.018,
1998-02,0.019,
1998-03,0.017,
1998-04,0.044,
1998-05,0.015,
1998-06,0.015,
1998-07,0.019,
1998-08,0.020,
1998-09,0.017,
1998-10,0.017,
1998-11,0.013,
1998-12,0.010,
1999-01,0.014,
1999-02,0.015,
1999-03,0.013,
1999-04,0.014,
1999-05,0.016,
1999-06,0.016,
1999-07,0.015,
1999-08,0.017,
1999-09,0.015,
1999-10,0.014,
1999-11,0.012,
1999-12,0.016,
2000-01,0.019,
2000-02,0.019,
2000-03,0.018,
2000-04,0.015,
2000-05,0.018,
2000-06,0.017,
2000-07,0.018,
2000-08,0.031,
2000-09,0.016,
2000-10,0.039,
2000-11,0.043,
2000-12,0.044,
2001-01,0.053,
2001-02,0.058,
2001-03,0.058,
2001-04,0.056,
2001-05,0.051,
2001-06,0.057,
2001-07,0.066,
2001-08,0.068,
2001-09,0.067,
2001-10,0.060,
2001-11,0.055,
2001-12,0.049,
2002-01,0.047,
2002-02,0.048,
2002-03,0.048,
2002-04,0.048,
2002-05,0.057,
2002-06,0.059,
2002-07,0.060,
2002-08,0.062,
2002-09,0.068,
2002-10,0.084,
2002-11,0.076,
2002-12,0.069,
2003-01,0.070,
2003-02,0.065,
2003-03,0.066,
2003-04,0.061,
2003-05,0.066,
2003-06,0.055,
2003-07,0.043,
2003-08,0.038,
2003-09,0.045,
2003-10,0.066,
2003-11,0.088,
2003-12,0.085,
2004-01,0.073,
2004-02,0.073,
2004-03,0.066,
2004-04,0.051,
2004-05,0.048,
2004-06,0.046,
2004-07,0.042,
2004-08,0.047,
2004-09,0.050,
2004-10,0.048,
2004-11,0.046,
2004-12,0.054,
2005-01,0.060,
2005-02,0.060,
2005-03,0.064,
2005-04,0.055,
2005-05,0.054,
2005-06,0.054,
2005-07,0.055,
2005-08,0.063,
2005-09,0.069,
2005-10,0.070,
2005-11,0.069,
2005-12,0.067,
2006-01,0.071,
2006-02,0.072,
2006-03,0.075,
2006-04,0.078,
2006-05,0.096,
2006-06,0.097,
2006-07,0.098,
2006-08,0.096,
2006-09,0.102,
2006-10,0.126,
2006-11,0.119,
2006-12,0.113,
2007-01,0.082,
2007-02,0.071,
2007-03,0.068,
2007-04,0.064,
2007-05,0.059,
2007-06,0.045,
2007-07,0.034,
2007-08,0.028,
2007-09,0.032,
2007-10,0.022,
2007-11,0.028,
2007-12,0.058,
2008-01,0.061,
2008-02,0.061,
2008-03,0.054,
2008-04,0.054,
2008-05,0.054,
2008-06,0.051,
2008-07,0.047,
2008-08,0.047,
2008-09,0.052,
2008-10,0.058,
2008-11,0.057,
2008-12,0.065,
2009-01,0.068,
2009-02,0.084,
2009-03,0.089,
2009-04,0.098,
2009-05,0.067,
2009-06,0.055,
2009-07,0.044,
2009-08,0.050,
2009-09,0.055,
2009-10,0.065,
2009-11,0.059,
2009-12,0.069,
2010-01,0.072,
2010-02,0.076,
2010-03,0.087,
2010-04,0.074,
2010-05,0.092,
2010-06,0.098,
2010-07,0.087,
2010-08,0.090,
2010-09,0.086,
2010-10,0.084,
2010-11,0.064,
2010-12,0.015,
2011-01,0.014,
2011-02,0.014,
2011-03,0.013,
2011-04,0.017,
2011-05,0.013,
2011-06,0.019,
2011-07,0.013,
2011-08,0.010,
2011-09,0.014,
2011-10,0.012,
2011-11,0.011,
2011-12,0.014,
2012-01,0.013,
2012-02,0.014,
2012-03,0.016,
2012-04,0.018,
2012-05,0.015,
2012-06,0.018,
2012-07,0.012,
2012-08,0.012,
2012-09,0.011,
2012-10,0.011,
2012-11,0.015,
2012-12,0.018,
2013-01,0.017,
2013-02,0.016,
2013-03,0.019,
2013-04,0.021,
2013-05,0.017,
2013-06,0.017,
2013-07,0.016,
2013-08,0.015,
2013-09,0.032,
2013-10,0.061,
2013-11,0.072,
2013-12,0.024,
2014-01,0.033,
2014-02,0.059,
2014-03,0.030,
2014-04,0.070,
2014-05,0.038,
2014-06,0.062,
2014-07,0.043,
2014-08,0.043,
2014-09,0.090,
2014-10,0.081,
2014-11,0.088,
2014-12,0.031,
