"",BBK01.OXA8J5,BBK01.OXA8J5_FLAGS
"","Stocks of loans to domestic non-banks (including bills of exchange), traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:36,
2009-12,11.353,
2010-01,10.902,
2010-02,-,Nothing exists
2010-03,9.881,
2010-04,-,Nothing exists
2010-05,9.746,
2010-06,9.453,
2010-07,9.118,
2010-08,8.717,
2010-09,8.368,
2010-10,8.044,
2010-11,7.616,
2010-12,7.173,
2011-01,6.963,
2011-02,7.348,
2011-03,7.120,
2011-04,6.909,
2011-05,6.668,
2011-06,7.499,
2011-07,8.014,
2011-08,7.746,
2011-09,7.437,
2011-10,7.317,
2011-11,6.887,
2011-12,6.728,
2012-01,6.583,
2012-02,6.429,
2012-03,6.115,
2012-04,5.807,
2012-05,5.734,
2012-06,5.572,
2012-07,5.200,
2012-08,5.116,
2012-09,5.043,
2012-10,5.021,
2012-11,4.761,
2012-12,4.766,
2013-01,4.563,
2013-02,5.377,
2013-03,5.280,
2013-04,5.143,
2013-05,5.011,
2013-06,4.895,
2013-07,5.430,
2013-08,5.234,
2013-09,5.061,
2013-10,4.956,
2013-11,4.848,
2013-12,4.795,
2014-01,4.174,
2014-02,4.125,
2014-03,3.919,
2014-04,3.822,
2014-05,5.036,
2014-06,4.925,
2014-07,4.595,
2014-08,4.316,
2014-09,3.908,
2014-10,3.290,
2014-11,3.855,
2014-12,3.774,Provisional value
