"",BBK01.OECI03S,BBK01.OECI03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:37,
2002-01,0.593,
2002-04,0.575,
2002-07,0.546,
2002-10,0.562,
2003-01,0.442,
2003-04,0.389,
2003-07,0.376,
2003-10,0.307,
2004-01,0.256,
2004-04,0.243,
2004-07,0.217,
2004-10,0.258,
2005-01,0.402,
2005-04,0.368,
2005-07,0.358,
2005-10,0.348,
2006-01,0.355,
2006-04,0.331,
2006-07,0.374,
2006-10,0.392,
2007-01,0.446,
2007-04,0.458,
2007-07,0.515,
2007-10,0.573,
2008-01,0.595,
2008-04,0.637,
2008-07,0.802,
2008-10,0.831,
2009-01,0.734,
2009-04,0.664,
2009-07,0.554,
2009-10,0.496,
2010-01,0.437,
2010-04,0.393,
2010-07,0.390,
2010-10,0.359,
2011-01,0.384,
2011-04,0.348,
2011-07,0.349,
2011-10,0.376,
2012-01,0.436,
2012-04,0.421,
2012-07,0.387,
2012-10,0.306,
2013-01,0.269,
2013-04,0.279,
2013-07,0.248,
2013-10,0.244,
2014-01,0.234,
2014-04,0.245,
2014-07,0.246,
