"",BBFB1.Q.N.DE.GB.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:50,
1999-01,187.953,
1999-04,230.388,
1999-07,282.690,
1999-10,235.967,
2000-01,266.152,
2000-04,308.901,
2000-07,352.865,
2000-10,334.083,
2001-01,261.187,
2001-04,274.969,
2001-07,302.392,
2001-10,277.273,
2002-01,247.669,
2002-04,275.775,
2002-07,332.151,
2002-10,295.371,
2003-01,245.424,
2003-04,273.275,
2003-07,329.142,
2003-10,292.694,
2004-01,319.055,
2004-04,331.070,
2004-07,380.141,
2004-10,344.808,
2005-01,333.682,
2005-04,366.804,
2005-07,403.899,
2005-10,343.589,
2006-01,313.472,
2006-04,397.026,
2006-07,416.131,
2006-10,377.300,
2007-01,328.365,
2007-04,350.970,
2007-07,406.652,
2007-10,350.730,
2008-01,331.890,
2008-04,360.720,
2008-07,406.013,
2008-10,347.535,
2009-01,239.244,
2009-04,245.721,
2009-07,342.934,
2009-10,287.670,
2010-01,235.907,
2010-04,261.599,
2010-07,337.395,
2010-10,295.119,
2011-01,236.294,
2011-04,267.155,
2011-07,332.673,
2011-10,300.663,
2012-01,243.436,
2012-04,274.909,
2012-07,343.065,
2012-10,291.876,
2013-01,252.695,
2013-04,292.104,
2013-07,355.681,
2013-10,316.197,
2014-01,262.376,Provisional value
2014-04,300.259,Provisional value
2014-07,379.223,Provisional value
2014-10,330.403,Provisional value
