"",BBK01.PQU359,BBK01.PQU359_FLAGS
"",Lending to domestic self-employed persons / Short-term / Building and loan asscociations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:09,
1999-01,0.184,
1999-04,0.170,
1999-07,0.161,
1999-10,0.186,
2000-01,0.136,
2000-04,0.144,
2000-07,0.148,
2000-10,0.189,
2001-01,0.152,
2001-04,0.157,
2001-07,0.153,
2001-10,0.179,
2002-01,0.134,
2002-04,0.147,
2002-07,0.148,
2002-10,0.131,
2003-01,0.130,
2003-04,0.132,
2003-07,0.135,
2003-10,0.117,
2004-01,0.112,
2004-04,0.110,
2004-07,0.108,
2004-10,0.103,
2005-01,0.103,
2005-04,0.107,
2005-07,0.105,
2005-10,0.107,
2006-01,0.106,
2006-04,0.109,
2006-07,0.098,
2006-10,0.100,
2007-01,0.106,
2007-04,0.111,
2007-07,0.112,
2007-10,0.117,
2008-01,0.122,
2008-04,0.110,
2008-07,0.115,
2008-10,0.118,
2009-01,0.121,
2009-04,0.123,
2009-07,0.134,
2009-10,0.139,
2010-01,0.128,
2010-04,0.161,
2010-07,0.160,
2010-10,0.161,
2011-01,0.177,
2011-04,0.179,
2011-07,0.178,
2011-10,0.174,
2012-01,0.180,
2012-04,0.176,
2012-07,0.170,
2012-10,0.167,
2013-01,0.165,
2013-04,0.169,
2013-07,0.173,
2013-10,0.167,
2014-01,0.169,
2014-04,0.167,
2014-07,0.164,
2014-10,0.177,
