"",BBK01.OEAH18P,BBK01.OEAH18P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:31,
2002-01,2.287,
2002-04,2.253,
2002-07,2.247,
2002-10,2.397,
2003-01,2.374,
2003-04,2.360,
2003-07,2.256,
2003-10,2.331,
2004-01,2.178,
2004-04,2.116,
2004-07,1.991,
2004-10,2.282,
2005-01,2.140,
2005-04,1.894,
2005-07,1.929,
2005-10,2.143,
2006-01,2.087,
2006-04,2.069,
2006-07,2.337,
2006-10,2.715,
2007-01,2.747,
2007-04,3.162,
2007-07,3.482,
2007-10,3.791,
2008-01,3.889,
2008-04,3.971,
2008-07,4.294,
2008-10,4.303,
2009-01,4.077,
2009-04,3.941,
2009-07,3.800,
2009-10,3.329,
2010-01,3.184,
2010-04,2.921,
2010-07,3.139,
2010-10,3.435,
2011-01,3.483,
2011-04,3.822,
2011-07,4.031,
2011-10,4.260,
2012-01,4.226,
2012-04,3.732,
2012-07,3.968,
2012-10,3.596,
2013-01,4.041,
2013-04,3.333,
2013-07,2.950,
2013-10,2.369,
2014-01,2.500,
2014-04,2.431,
2014-07,2.290,
