"",BBFB1.Q.N.DE.CA.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:47,
1991-01,391.364,
1991-04,281.921,
1991-07,328.118,
1991-10,259.860,
1992-01,398.206,
1992-04,280.817,
1992-07,164.020,
1992-10,135.399,
1993-01,240.259,
1993-04,170.051,
1993-07,218.385,
1993-10,287.962,
1994-01,232.877,
1994-04,308.658,
1994-07,101.253,
1994-10,165.556,
1995-01,115.458,
1995-04,60.520,
1995-07,-164.706,
1995-10,-83.835,
1996-01,82.712,
1996-04,49.327,
1996-07,-61.543,
1996-10,79.713,
1997-01,299.122,
1997-04,293.305,
1997-07,357.011,
1997-10,383.114,
1998-01,469.323,
1998-04,535.309,
1998-07,263.601,
1998-10,288.155,
1999-01,209.781,
1999-04,416.240,
1999-07,27.624,
1999-10,236.135,
2000-01,323.912,
2000-04,286.272,
2000-07,139.457,
2000-10,179.123,
2001-01,489.022,
2001-04,700.000,
2001-07,555.774,
2001-10,1447.415,
2002-01,904.994,
2002-04,824.580,
2002-07,905.890,
2002-10,713.757,
2003-01,697.864,
2003-04,515.767,
2003-07,505.773,
2003-10,450.823,
2004-01,708.120,
2004-04,819.157,
2004-07,745.138,
2004-10,818.923,
2005-01,752.629,
2005-04,848.938,
2005-07,632.834,
2005-10,671.894,
2006-01,961.568,
2006-04,1041.716,
2006-07,632.336,
2006-10,832.759,
2007-01,1042.905,
2007-04,1085.791,
2007-07,899.919,
2007-10,846.659,
2008-01,1120.619,
2008-04,658.217,
2008-07,382.277,
2008-10,697.968,
2009-01,911.778,
2009-04,727.956,
2009-07,483.738,
2009-10,701.787,
2010-01,671.816,
2010-04,1074.003,
2010-07,811.297,
2010-10,699.464,
2011-01,998.216,
2011-04,859.798,
2011-07,888.461,
2011-10,786.168,
2012-01,1605.912,
2012-04,1714.079,
2012-07,1431.478,
2012-10,1315.934,
2013-01,1602.839,
2013-04,1788.616,
2013-07,1545.663,
2013-10,1205.739,
2014-01,1780.981,Provisional value
2014-04,2072.595,Provisional value
2014-07,1815.733,Provisional value
