"",BBK01.OEBI02R,BBK01.OEBI02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:22,
2002-01,1.268,
2002-04,1.341,
2002-07,1.362,
2002-10,1.502,
2003-01,1.344,
2003-04,1.406,
2003-07,1.443,
2003-10,1.574,
2004-01,1.467,
2004-04,1.584,
2004-07,1.661,
2004-10,1.783,
2005-01,1.803,
2005-04,1.831,
2005-07,1.955,
2005-10,2.129,
2006-01,1.964,
2006-04,2.012,
2006-07,2.043,
2006-10,2.199,
2007-01,2.040,
2007-04,2.086,
2007-07,2.170,
2007-10,2.001,
2008-01,1.888,
2008-04,1.869,
2008-07,1.871,
2008-10,2.298,
2009-01,2.846,
2009-04,3.006,
2009-07,3.351,
2009-10,3.843,
2010-01,3.665,
2010-04,3.854,
2010-07,4.028,
2010-10,4.092,
2011-01,3.837,
2011-04,3.876,
2011-07,4.019,
2011-10,3.500,
2012-01,3.276,
2012-04,3.373,
2012-07,3.645,
2012-10,3.747,
2013-01,3.789,
2013-04,3.776,
2013-07,3.995,
2013-10,3.988,
2014-01,4.009,
2014-04,4.102,
2014-07,4.308,
