"",BBFB1.Q.N.DE.A7.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:20,
1991-01,-655.378,
1991-04,-1027.101,
1991-07,-525.173,
1991-10,-379.568,
1992-01,-523.081,
1992-04,-741.370,
1992-07,-307.795,
1992-10,-13.816,
1993-01,363.343,
1993-04,122.305,
1993-07,111.111,
1993-10,242.146,
1994-01,289.947,
1994-04,311.959,
1994-07,272.220,
1994-10,466.633,
1995-01,663.843,
1995-04,378.724,
1995-07,315.179,
1995-10,139.186,
1996-01,574.828,
1996-04,713.594,
1996-07,952.102,
1996-10,1411.307,
1997-01,959.773,
1997-04,451.971,
1997-07,1174.753,
1997-10,1251.838,
1998-01,743.526,
1998-04,872.980,
1998-07,1035.338,
1998-10,881.669,
1999-01,423.016,
1999-04,86.845,
1999-07,90.301,
1999-10,444.295,
2000-01,207.669,
2000-04,161.577,
2000-07,227.730,
2000-10,223.279,
2001-01,448.894,
2001-04,-172.242,
2001-07,24.332,
2001-10,157.774,
2002-01,40.994,
2002-04,-147.559,
2002-07,70.104,
2002-10,-447.135,
2003-01,-885.737,
2003-04,-727.167,
2003-07,-16.594,
2003-10,-478.632,
2004-01,-266.711,
2004-04,73.943,
2004-07,-301.227,
2004-10,-319.763,
2005-01,616.707,
2005-04,245.714,
2005-07,633.235,
2005-10,466.018,
2006-01,365.943,
2006-04,-245.903,
2006-07,-26.559,
2006-10,-232.927,
2007-01,-158.590,
2007-04,247.903,
2007-07,560.452,
2007-10,386.046,
2008-01,808.528,
2008-04,486.247,
2008-07,134.866,
2008-10,590.462,
2009-01,184.578,
2009-04,113.869,
2009-07,593.731,
2009-10,1019.024,
2010-01,1526.193,
2010-04,1346.675,
2010-07,1422.017,
2010-10,1672.509,
2011-01,1360.815,
2011-04,85.918,
2011-07,923.428,
2011-10,1413.586,
2012-01,1310.979,
2012-04,1864.264,
2012-07,2305.724,
2012-10,2163.191,
2013-01,2183.142,
2013-04,2099.099,
2013-07,2505.384,
2013-10,2542.317,
2014-01,2286.780,Provisional value
2014-04,2006.035,Provisional value
2014-07,2192.279,Provisional value
