"",BBFB1.Q.N.DE.O1.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:36,
1991-01,-15.374,
1991-04,26.136,
1991-07,42.224,
1991-10,-24.810,
1992-01,-23.881,
1992-04,27.739,
1992-07,11.712,
1992-10,-37.886,
1993-01,-46.317,
1993-04,-6.921,
1993-07,-5.331,
1993-10,-39.945,
1994-01,-71.558,
1994-04,-4.047,
1994-07,-22.110,
1994-10,-74.193,
1995-01,-87.651,
1995-04,-21.499,
1995-07,-35.286,
1995-10,-91.622,
1996-01,-80.619,
1996-04,2.342,
1996-07,-8.267,
1996-10,-50.090,
1997-01,-81.149,
1997-04,-3.079,
1997-07,-20.991,
1997-10,-89.012,
1998-01,-81.925,
1998-04,33.063,
1998-07,-2.356,
1998-10,-58.279,
1999-01,-75.061,
1999-04,0.338,
1999-07,-0.691,
1999-10,-96.038,
2000-01,-116.912,
2000-04,5.149,
2000-07,-39.457,
2000-10,-95.182,
2001-01,-240.656,
2001-04,-43.595,
2001-07,-44.783,
2001-10,-109.067,
2002-01,-103.937,
2002-04,-22.313,
2002-07,-112.935,
2002-10,-52.108,
2003-01,-181.584,
2003-04,-42.853,
2003-07,-45.572,
2003-10,-148.473,
2004-01,-115.766,
2004-04,34.458,
2004-07,-95.832,
2004-10,-20.992,
2005-01,-167.383,
2005-04,-9.073,
2005-07,-36.876,
2005-10,-82.172,
2006-01,-80.606,
2006-04,-22.172,
2006-07,56.136,
2006-10,-205.727,
2007-01,-152.566,
2007-04,71.117,
2007-07,143.135,
2007-10,80.533,
2008-01,-57.586,
2008-04,20.282,
2008-07,27.289,
2008-10,42.494,
2009-01,-128.586,
2009-04,-32.703,
2009-07,112.163,
2009-10,24.076,
2010-01,44.072,
2010-04,108.013,
2010-07,7.902,
2010-10,-88.406,
2011-01,-210.826,
2011-04,-21.213,
2011-07,83.340,
2011-10,-6.644,
2012-01,-175.415,
2012-04,-15.221,
2012-07,45.372,
2012-10,-221.640,
2013-01,-204.787,
2013-04,77.952,
2013-07,104.685,
2013-10,-24.432,
2014-01,-64.648,Provisional value
2014-04,-7.421,Provisional value
2014-07,107.505,Provisional value
