"",BBK01.OEAO04Q,BBK01.OEAO04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:57,
2002-01,-0.270,
2002-04,-0.333,
2002-07,0.067,
2002-10,-0.042,
2003-01,-0.116,
2003-04,-0.196,
2003-07,0.090,
2003-10,-0.226,
2004-01,-0.200,
2004-04,-0.217,
2004-07,-0.014,
2004-10,-0.290,
2005-01,-0.098,
2005-04,-0.182,
2005-07,-0.234,
2005-10,-0.423,
2006-01,-0.105,
2006-04,-0.196,
2006-07,-0.265,
2006-10,-0.372,
2007-01,-0.128,
2007-04,-0.221,
2007-07,-0.364,
2007-10,-0.067,
2008-01,-0.181,
2008-04,-0.120,
2008-07,-0.195,
2008-10,0.415,
2009-01,0.354,
2009-04,0.211,
2009-07,0.223,
2009-10,0.020,
2010-01,0.170,
2010-04,0.119,
2010-07,0.080,
2010-10,0.141,
2011-01,0.014,
2011-04,-0.168,
2011-07,-0.115,
2011-10,0.091,
2012-01,0.241,
2012-04,-0.051,
2012-07,-0.016,
2012-10,-0.057,
2013-01,-0.178,
2013-04,-0.090,
2013-07,-0.181,
2013-10,-0.007,
2014-01,-0.035,
2014-04,-0.175,
2014-07,0.004,
