"",BBNZ1.Q.DE.Y.G.0000.A,BBNZ1.Q.DE.Y.G.0000.A_FLAGS
"",Germany / National accounts / Overall economy / GDP / At current prices / Calendar and seasonally adjusted,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:00,
1991-01,387.014,
1991-04,394.052,
1991-07,395.311,
1991-10,408.274,
1992-01,418.354,
1992-04,421.191,
1992-07,425.117,
1992-10,429.014,
1993-01,429.915,
1993-04,435.083,
1993-07,439.653,
1993-10,441.841,
1994-01,450.760,
1994-04,453.294,
1994-07,458.685,
1994-10,466.543,
1995-01,466.662,
1995-04,475.070,
1995-07,478.315,
1995-10,478.708,
1996-01,473.750,
1996-04,480.423,
1996-07,484.121,
1996-10,487.603,
1997-01,484.775,
1997-04,490.825,
1997-07,493.469,
1997-10,497.925,
1998-01,501.329,
1998-04,502.269,
1998-07,504.497,
1998-10,505.348,
1999-01,509.480,
1999-04,510.714,
1999-07,516.083,
1999-10,520.968,
2000-01,525.396,
2000-04,528.913,
2000-07,529.811,
2000-10,529.687,
2001-01,541.808,
2001-04,543.208,
2001-07,545.026,
2001-10,549.788,
2002-01,549.137,
2002-04,548.887,
2002-07,555.519,
2002-10,556.189,
2003-01,551.276,
2003-04,551.414,
2003-07,558.204,
2003-10,559.384,
2004-01,562.133,
2004-04,566.196,
2004-07,566.238,
2004-10,565.890,
2005-01,567.165,
2005-04,571.343,
2005-07,577.098,
2005-10,578.734,
2006-01,584.160,
2006-04,595.221,
2006-07,601.421,
2006-10,610.039,
2007-01,619.259,
2007-04,625.670,
2007-07,632.599,
2007-10,636.100,
2008-01,642.171,
2008-04,642.560,
2008-07,640.177,
2008-10,629.678,
2009-01,606.356,
2009-04,609.348,
2009-07,615.873,
2009-10,623.212,
2010-01,627.026,
2010-04,640.091,
2010-07,648.036,
2010-10,655.335,
2011-01,667.548,
2011-04,671.533,
2011-07,676.660,
2011-10,679.268,
2012-01,682.646,
2012-04,686.353,
2012-07,690.797,
2012-10,691.699,
2013-01,692.461,
2013-04,702.486,
2013-07,706.246,
2013-10,712.944,
2014-01,721.939,
2014-04,725.348,
2014-07,726.472,
2014-10,734.625,
