"",BBSF2.M.1.S.00000.SON01.A.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.A.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net asset value / Not defined / Distribution funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:40,
2009-09,1224,
2009-10,1541,
2009-11,3196,
2009-12,3588,
2010-01,4098,
2010-02,4143,
2010-03,4594,
2010-04,4643,
2010-05,4821,
2010-06,4849,
2010-07,5425,
2010-08,5524,
2010-09,5103,
2010-10,5330,
2010-11,5348,
2010-12,5763,
2011-01,5816,
2011-02,6021,
2011-03,5994,
2011-04,6150,
2011-05,6317,
2011-06,6379,
2011-07,6392,
2011-08,7337,
2011-09,7324,
2011-10,10684,
2011-11,13974,
2011-12,14273,
2012-01,14752,
2012-02,14844,
2012-03,14668,
2012-04,14350,
2012-05,13957,
2012-06,13766,
2012-07,14243,
2012-08,14829,
2012-09,15061,
2012-10,15149,
2012-11,15576,
2012-12,15974,
2013-01,16198,
2013-02,16327,
2013-03,16864,
2013-04,17968,
2013-05,18952,
2013-06,18510,
2013-07,19158,
2013-08,18887,
2013-09,19608,
2013-10,19820,
2013-11,19779,
2013-12,20210,
2014-01,20418,
2014-02,21320,
2014-03,21719,
2014-04,21955,
2014-05,22494,
2014-06,22808,
2014-07,23350,
2014-08,27871,
2014-09,27967,
2014-10,27980,
2014-11,28959,
