"",BBSF2.M.1.T.00000.SON01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.T.00000.SON01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Funds total / Other funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:34,
2009-09,448,
2009-10,495,
2009-11,1519,
2009-12,1635,
2010-01,1730,
2010-02,1740,
2010-03,1857,
2010-04,1869,
2010-05,1921,
2010-06,1826,
2010-07,2078,
2010-08,2190,
2010-09,1996,
2010-10,2186,
2010-11,2121,
2010-12,2058,
2011-01,1970,
2011-02,1995,
2011-03,1958,
2011-04,2021,
2011-05,2023,
2011-06,2022,
2011-07,1933,
2011-08,2377,
2011-09,2427,
2011-10,2853,
2011-11,3722,
2011-12,3762,
2012-01,3964,
2012-02,4064,
2012-03,3979,
2012-04,3822,
2012-05,3813,
2012-06,3675,
2012-07,3782,
2012-08,3875,
2012-09,3782,
2012-10,3780,
2012-11,3828,
2012-12,3777,
2013-01,4001,
2013-02,4088,
2013-03,4134,
2013-04,4396,
2013-05,4468,
2013-06,4559,
2013-07,4735,
2013-08,4751,
2013-09,4866,
2013-10,4684,
2013-11,4725,
2013-12,4838,
2014-01,5012,
2014-02,5349,
2014-03,5297,
2014-04,5299,
2014-05,5468,
2014-06,5437,
2014-07,5425,
2014-08,6629,
2014-09,6639,
2014-10,6698,
2014-11,6794,
