"",BBK01.OEHO04S,BBK01.OEHO04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:35,
2002-01,-0.055,
2002-04,-0.081,
2002-07,-0.010,
2002-10,0.080,
2003-01,0.065,
2003-04,-0.064,
2003-07,-0.059,
2003-10,0.058,
2004-01,-0.039,
2004-04,-0.123,
2004-07,-0.071,
2004-10,0.022,
2005-01,-0.005,
2005-04,-0.061,
2005-07,0.038,
2005-10,0.038,
2006-01,0.084,
2006-04,-0.031,
2006-07,-0.024,
2006-10,0.014,
2007-01,0.043,
2007-04,-0.031,
2007-07,0.006,
2007-10,0.017,
2008-01,-0.111,
2008-04,-0.070,
2008-07,-0.136,
2008-10,0.066,
2009-01,0.011,
2009-04,0.004,
2009-07,0.036,
2009-10,0.140,
2010-01,0.197,
2010-04,0.113,
2010-07,0.060,
2010-10,0.083,
2011-01,0.046,
2011-04,-0.050,
2011-07,0.016,
2011-10,0.054,
2012-01,0.016,
2012-04,-0.001,
2012-07,-0.007,
2012-10,0.026,
2013-01,0.049,
2013-04,0.011,
2013-07,0.058,
2013-10,0.094,
2014-01,0.064,
2014-04,0.032,
2014-07,0.026,
