"",BBK01.OEHM01G,BBK01.OEHM01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:23,
2002-01,2.921,
2002-04,2.736,
2002-07,2.637,
2002-10,3.439,
2003-01,2.856,
2003-04,2.686,
2003-07,2.699,
2003-10,3.006,
2004-01,2.483,
2004-04,2.637,
2004-07,2.878,
2004-10,2.902,
2005-01,2.521,
2005-04,2.564,
2005-07,2.617,
2005-10,2.996,
2006-01,2.595,
2006-04,2.803,
2006-07,2.994,
2006-10,3.498,
2007-01,3.127,
2007-04,3.584,
2007-07,3.964,
2007-10,4.708,
2008-01,4.476,
2008-04,4.766,
2008-07,5.086,
2008-10,5.469,
2009-01,5.023,
2009-04,4.880,
2009-07,4.504,
2009-10,4.563,
2010-01,3.808,
2010-04,4.001,
2010-07,4.049,
2010-10,4.411,
2011-01,3.738,
2011-04,4.245,
2011-07,4.475,
2011-10,5.254,
2012-01,4.802,
2012-04,5.359,
2012-07,6.226,
2012-10,6.273,
2013-01,5.672,
2013-04,5.786,
2013-07,5.764,
2013-10,6.059,
2014-01,5.768,
2014-04,6.387,
2014-07,5.638,
