"",BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:15,
1991-01,3596.750,
1991-04,4106.736,
1991-07,4393.159,
1991-10,6395.962,
1992-01,2707.687,
1992-04,2740.345,
1992-07,3900.172,
1992-10,4544.243,
1993-01,3228.937,
1993-04,2432.371,
1993-07,3203.013,
1993-10,4473.498,
1994-01,3327.987,
1994-04,3580.765,
1994-07,1658.017,
1994-10,5445.638,
1995-01,7236.566,
1995-04,7129.377,
1995-07,3388.181,
1995-10,8135.279,
1996-01,11174.584,
1996-04,7683.561,
1996-07,6543.581,
1996-10,15912.943,
1997-01,19406.220,
1997-04,6874.662,
1997-07,5662.014,
1997-10,6433.123,
1998-01,27383.941,
1998-04,12410.320,
1998-07,4727.654,
1998-10,34679.604,
1999-01,28410.660,
1999-04,43420.755,
1999-07,1645.719,
1999-10,50273.172,
2000-01,37838.337,
2000-04,41630.667,
2000-07,12622.877,
2000-10,-6075.671,
2001-01,34616.417,
2001-04,34820.203,
2001-07,427.830,
2001-10,5198.619,
2002-01,573.596,
2002-04,7517.720,
2002-07,17559.216,
2002-10,-6580.151,
2003-01,28185.586,
2003-04,-938.586,
2003-07,3274.146,
2003-10,5066.746,
2004-01,-6181.567,
2004-04,5748.884,
2004-07,6865.092,
2004-10,-8228.696,
2005-01,19710.733,
2005-04,17440.032,
2005-07,11296.435,
2005-10,10926.387,
2006-01,28527.435,
2006-04,15869.842,
2006-07,30802.368,
2006-10,28015.732,
2007-01,22811.130,
2007-04,21669.816,
2007-07,24870.385,
2007-10,4301.529,
2008-01,27168.671,
2008-04,20771.583,
2008-07,11217.318,
2008-10,-3031.616,
2009-01,20286.995,
2009-04,14498.325,
2009-07,12445.467,
2009-10,17681.624,
2010-01,36275.540,
2010-04,27546.081,
2010-07,9975.038,
2010-10,19299.562,
2011-01,25992.078,
2011-04,15940.835,
2011-07,11985.745,
2011-10,3607.771,
2012-01,27032.094,
2012-04,12186.918,
2012-07,17118.564,
2012-10,17505.981,
2013-01,12812.362,
2013-04,23670.292,
2013-07,7713.318,
2013-10,-4934.968,
2014-01,20276.040,Provisional value
2014-04,19937.641,Provisional value
2014-07,18510.485,Provisional value
2014-10,12514.246,Provisional value
