"",BBK01.OEAA14V,BBK01.OEAA14V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:07,
2002-01,4.805,
2002-04,4.722,
2002-07,4.754,
2002-10,5.258,
2003-01,5.111,
2003-04,3.968,
2003-07,3.936,
2003-10,4.026,
2004-01,3.935,
2004-04,4.088,
2004-07,4.243,
2004-10,4.068,
2005-01,4.206,
2005-04,4.095,
2005-07,3.767,
2005-10,3.667,
2006-01,3.566,
2006-04,3.640,
2006-07,3.706,
2006-10,3.938,
2007-01,3.905,
2007-04,3.901,
2007-07,3.938,
2007-10,3.636,
2008-01,3.572,
2008-04,3.088,
2008-07,3.159,
2008-10,3.279,
2009-01,3.338,
2009-04,3.672,
2009-07,3.668,
2009-10,3.849,
2010-01,3.531,
2010-04,3.603,
2010-07,3.518,
2010-10,3.485,
2011-01,3.434,
2011-04,3.561,
2011-07,3.765,
2011-10,3.748,
2012-01,3.724,
2012-04,3.768,
2012-07,3.937,
2012-10,3.830,
2013-01,3.786,
2013-04,3.816,
2013-07,3.762,
2013-10,3.881,
2014-01,3.861,
2014-04,3.616,
2014-07,3.560,
