"",BBK01.OEAC39V,BBK01.OEAC39V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:56,
2002-01,1.294,
2002-04,1.258,
2002-07,1.258,
2002-10,1.282,
2003-01,1.204,
2003-04,1.115,
2003-07,1.082,
2003-10,1.105,
2004-01,1.191,
2004-04,1.236,
2004-07,1.335,
2004-10,1.322,
2005-01,1.304,
2005-04,1.205,
2005-07,1.125,
2005-10,1.069,
2006-01,0.999,
2006-04,0.998,
2006-07,1.068,
2006-10,1.030,
2007-01,0.940,
2007-04,0.881,
2007-07,0.884,
2007-10,0.955,
2008-01,0.845,
2008-04,0.806,
2008-07,0.824,
2008-10,0.658,
2009-01,0.668,
2009-04,0.775,
2009-07,0.848,
2009-10,0.889,
2010-01,0.597,
2010-04,0.697,
2010-07,0.607,
2010-10,0.613,
2011-01,0.618,
2011-04,0.614,
2011-07,0.649,
2011-10,0.657,
2012-01,0.671,
2012-04,0.730,
2012-07,0.730,
2012-10,0.759,
2013-01,0.754,
2013-04,0.784,
2013-07,0.793,
2013-10,0.867,
2014-01,0.889,
2014-04,0.823,
2014-07,0.839,
