"",BBK01.OELB03H,BBK01.OELB03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:20,
2002-01,7.571,
2002-04,7.374,
2002-07,7.245,
2002-10,7.023,
2003-01,6.736,
2003-04,6.553,
2003-07,6.433,
2003-10,6.288,
2004-01,6.132,
2004-04,6.059,
2004-07,5.972,
2004-10,6.246,
2005-01,6.075,
2005-04,6.048,
2005-07,6.058,
2005-10,6.053,
2006-01,5.915,
2006-04,5.939,
2006-07,5.950,
2006-10,5.851,
2007-01,5.741,
2007-04,5.710,
2007-07,5.712,
2007-10,5.605,
2008-01,5.501,
2008-04,5.529,
2008-07,5.531,
2008-10,5.519,
2009-01,5.583,
2009-04,5.601,
2009-07,5.785,
2009-10,5.905,
2010-01,5.844,
2010-04,5.968,
2010-07,6.063,
2010-10,6.067,
2011-01,6.081,
2011-04,6.214,
2011-07,6.356,
2011-10,6.470,
2012-01,6.531,
2012-04,6.499,
2012-07,6.565,
2012-10,6.649,
2013-01,6.677,
2013-04,6.822,
2013-07,6.996,
2013-10,7.037,
2014-01,7.006,
2014-04,7.066,
2014-07,7.213,
