"",BBK01.OEYK02H,BBK01.OEYK02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:52,
2002-01,0.056,
2002-04,0.067,
2002-07,0.055,
2002-10,0.145,
2003-01,0.134,
2003-04,0.114,
2003-07,0.114,
2003-10,0.065,
2004-01,0.193,
2004-04,0.121,
2004-07,0.113,
2004-10,0.107,
2005-01,0.156,
2005-04,0.128,
2005-07,0.142,
2005-10,0.145,
2006-01,0.225,
2006-04,0.103,
2006-07,0.121,
2006-10,0.160,
2007-01,0.197,
2007-04,0.272,
2007-07,0.197,
2007-10,0.136,
2008-01,0.270,
2008-04,0.164,
2008-07,0.157,
2008-10,0.105,
2009-01,0.114,
2009-04,0.098,
2009-07,0.099,
2009-10,0.073,
2010-01,0.152,
2010-04,0.107,
2010-07,0.077,
2010-10,0.082,
2011-01,0.125,
2011-04,0.045,
2011-07,0.095,
2011-10,0.033,
2012-01,0.039,
2012-04,0.032,
2012-07,0.092,
2012-10,0.109,
2013-01,0.117,
2013-04,0.125,
2013-07,0.115,
2013-10,0.118,
2014-01,0.112,
2014-04,0.123,
2014-07,0.026,
