"",BBK01.OEAD17P,BBK01.OEAD17P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:02,
2002-01,0.057,
2002-04,0.059,
2002-07,0.050,
2002-10,0.046,
2003-01,0.045,
2003-04,0.043,
2003-07,0.042,
2003-10,0.050,
2004-01,0.036,
2004-04,0.035,
2004-07,0.034,
2004-10,0.029,
2005-01,0.020,
2005-04,0.021,
2005-07,0.025,
2005-10,0.022,
2006-01,0.024,
2006-04,0.023,
2006-07,0.021,
2006-10,0.020,
2007-01,0.017,
2007-04,0.018,
2007-07,0.021,
2007-10,0.021,
2008-01,0.023,
2008-04,0.033,
2008-07,0.024,
2008-10,0.022,
2009-01,0.024,
2009-04,0.022,
2009-07,0.021,
2009-10,0.020,
2010-01,0.012,
2010-04,0.012,
2010-07,0.016,
2010-10,0.017,
2011-01,0.021,
2011-04,0.019,
2011-07,0.020,
2011-10,0.019,
2012-01,0.019,
2012-04,0.022,
2012-07,0.022,
2012-10,0.022,
2013-01,0.021,
2013-04,0.019,
2013-07,0.020,
2013-10,0.016,
2014-01,0.019,
2014-04,0.020,
2014-07,0.025,
