"",BBK01.OELJ03N,BBK01.OELJ03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:34,
2002-01,6.453,
2002-04,6.479,
2002-07,6.782,
2002-10,6.756,
2003-01,6.738,
2003-04,6.661,
2003-07,6.683,
2003-10,6.616,
2004-01,7.010,
2004-04,7.089,
2004-07,7.464,
2004-10,7.510,
2005-01,7.481,
2005-04,7.708,
2005-07,7.806,
2005-10,7.763,
2006-01,7.674,
2006-04,7.922,
2006-07,8.220,
2006-10,8.983,
2007-01,8.627,
2007-04,8.752,
2007-07,9.203,
2007-10,9.347,
2008-01,9.062,
2008-04,9.117,
2008-07,12.239,
2008-10,12.354,
2009-01,12.319,
2009-04,12.198,
2009-07,12.151,
2009-10,12.422,
2010-01,12.186,
2010-04,12.185,
2010-07,12.285,
2010-10,12.573,
2011-01,12.439,
2011-04,12.327,
2011-07,12.829,
2011-10,12.773,
2012-01,12.372,
2012-04,12.132,
2012-07,11.728,
2012-10,11.580,
2013-01,10.949,
2013-04,10.949,
2013-07,10.696,
2013-10,10.515,
2014-01,8.415,
2014-04,8.434,
2014-07,8.901,
