"",BBEX3.M.TWD.USD.CA.AA.A01,BBEX3.M.TWD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in China (Taiwan) / USD 1 = TWD... (buying),
unit,TWD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:40,
1984-01,40.130,
1984-02,40.120,
1984-03,39.870,
1984-04,39.590,
1984-05,39.840,
1984-06,39.580,
1984-07,39.130,
1984-08,38.980,
1984-09,39.130,
1984-10,39.230,
1984-11,39.430,
1984-12,39.420,
1985-01,39.030,
1985-02,39.270,
1985-03,39.490,
1985-04,39.870,
1985-05,39.730,
1985-06,39.950,
1985-07,40.260,
1985-08,40.370,
1985-09,40.350,
1985-10,40.040,
1985-11,39.730,
1985-12,39.800,
1986-01,39.260,
1986-02,39.040,
1986-03,38.720,
1986-04,38.490,
1986-05,38.120,
1986-06,38.040,
1986-07,38.000,
1986-08,36.910,
1986-09,36.670,
1986-10,36.440,
1986-11,36.210,
1986-12,35.450,
1987-01,35.010,
1987-02,34.940,
1987-03,34.210,
1987-04,32.970,
1987-05,31.440,
1987-06,31.030,
1987-07,30.830,
1987-08,30.060,
1987-09,30.040,
1987-10,29.910,
1987-11,29.410,
1987-12,28.500,
1988-01,28.560,
1988-02,28.570,
1988-03,28.590,
1988-04,28.590,
1988-05,28.570,
1988-06,28.840,
1988-07,28.580,
1988-08,28.730,
1988-09,28.880,
1988-10,28.440,
1988-11,28.080,
1988-12,28.120,
1989-01,27.600,
1989-02,27.710,
1989-03,27.360,
1989-04,25.450,
1989-05,25.960,
1989-06,25.810,
1989-07,25.680,
1989-08,25.610,
1989-09,25.550,
1989-10,25.850,
1989-11,26.090,
1989-12,26.120,
1990-01,26.100,
1990-02,26.100,
1990-03,26.360,
1990-04,26.340,
1990-05,27.410,
1990-06,27.150,
1990-07,27.130,
1990-08,27.240,
1990-09,27.250,
1990-10,27.230,
1990-11,27.190,
1990-12,27.070,
1991-01,27.050,
1991-02,27.110,
1991-03,27.400,
1991-04,27.330,
1991-05,27.150,
1991-06,27.060,
1991-07,26.840,
1991-08,26.650,
1991-09,26.440,
1991-10,26.300,
1991-11,25.710,
1991-12,25.700,
1992-01,24.950,
1992-02,25.100,
1992-03,25.480,
1992-04,25.190,
1992-05,24.840,
1992-06,24.600,
1992-07,24.910,
1992-08,25.040,
1992-09,25.140,
1992-10,25.320,
1992-11,25.400,
1992-12,25.370,
1993-01,25.440,
1993-02,25.690,
1993-03,26.100,
1993-04,25.800,
1993-05,26.000,
1993-06,26.350,
1993-07,26.890,
1993-08,26.890,
1993-09,26.890,
1993-10,26.810,
1993-11,26.880,
1993-12,26.630,
1994-01,26.390,
1994-02,26.410,
1994-03,26.310,
1994-04,26.350,
1994-05,27.030,
1994-06,26.780,
1994-07,26.520,
1994-08,26.100,
1994-09,26.110,
1994-10,25.990,
1994-11,26.200,
1994-12,26.210,
1995-01,26.250,
1995-02,26.270,
1995-03,25.940,
1995-04,25.360,
1995-05,25.540,
1995-06,25.780,
1995-07,26.420,
1995-08,27.450,
1995-09,27.010,
1995-10,26.910,
1995-11,27.260,
1995-12,27.240,
1996-01,27.420,
1996-02,27.450,
1996-03,27.190,
1996-04,27.110,
1996-05,27.680,
1996-06,27.440,
1996-07,27.490,
1996-08,27.420,
1996-09,27.440,
1996-10,27.490,
1996-11,27.440,
1996-12,27.445,
1997-01,27.395,
1997-02,27.455,
1997-03,27.505,
1997-04,27.610,
1997-05,27.800,
1997-06,27.760,
1997-07,28.510,
1997-08,28.600,
1997-09,28.550,
1997-10,30.940,
1997-11,32.080,
1997-12,32.540,
1998-01,33.790,
1998-02,31.990,
1998-03,32.910,
1998-04,32.930,
1998-05,33.950,
1998-06,34.440,
1998-07,34.310,
1998-08,34.770,
1998-09,34.400,
1998-10,32.330,
1998-11,32.390,
1998-12,32.165,
1999-01,32.240,
1999-02,32.920,
1999-03,33.110,
1999-04,32.640,
1999-05,32.670,
1999-06,32.220,
1999-07,32.120,
1999-08,31.790,
1999-09,31.740,
1999-10,31.680,
1999-11,31.620,
1999-12,31.380,
2000-01,30.660,
2000-02,30.680,
2000-03,30.410,
2000-04,30.590,
2000-05,30.790,
2000-06,30.750,
2000-07,31.000,
2000-08,31.020,
2000-09,31.270,
2000-10,32.350,
2000-11,33.000,
2000-12,33.010,
2001-01,32.320,
2001-02,32.270,
2001-03,32.770,
2001-04,32.870,
2001-05,33.920,
2001-06,34.420,
2001-07,34.720,
2001-08,34.510,
2001-09,34.480,
2001-10,34.460,
2001-11,34.400,
2001-12,34.970,
2002-01,34.900,
2002-02,35.060,
2002-03,34.950,
2002-04,34.670,
2002-05,34.020,
2002-06,33.510,
2002-07,33.760,
2002-08,34.140,
2002-09,34.860,
2002-10,34.750,
2002-11,34.750,
2002-12,34.700,
2003-01,34.640,
2003-02,34.700,
2003-03,34.740,
2003-04,34.800,
2003-05,34.670,
2003-06,34.550,
2003-07,34.340,
2003-08,34.130,
2003-09,33.700,
2003-10,33.900,
2003-11,34.170,
2003-12,33.950,
2004-01,33.330,
2004-02,33.280,
2004-03,33.080,
2004-04,33.250,
2004-05,33.340,
2004-06,33.680,
2004-07,34.130,
2004-08,34.010,
2004-09,33.930,
2004-10,33.480,
2004-11,32.150,
2004-12,31.710,
2005-01,31.760,
2005-02,31.120,
2005-03,31.660,
2005-04,31.340,
2005-05,31.280,
2005-06,31.600,
2005-07,31.850,
2005-08,32.700,
2005-09,33.150,
2005-10,33.590,
2005-11,33.490,
2005-12,32.780,
2006-01,31.980,
2006-02,32.430,
2006-03,32.420,
2006-04,31.820,
2006-05,31.990,
2006-06,32.400,
2006-07,32.690,
2006-08,32.840,
2006-09,32.960,
2006-10,33.190,
2006-11,32.470,
2006-12,32.590,
2007-01,32.880,
2007-02,32.880,
2007-03,33.010,
2007-04,33.230,
2007-05,32.910,
2007-06,32.800,
2007-07,32.770,
2007-08,33.010,
2007-09,32.520,
2007-10,32.380,
2007-11,32.220,
2007-12,32.430,
2008-01,32.120,
2008-02,30.710,
2008-03,30.420,
2008-04,30.370,
2008-05,30.380,
2008-06,30.310,
2008-07,30.530,
2008-08,31.460,
2008-09,32.220,
2008-10,32.680,
2008-11,33.240,
2008-12,32.700,
2009-01,33.530,
2009-02,34.850,
2009-03,33.950,
2009-04,33.250,
2009-05,32.520,
2009-06,32.810,
2009-07,32.730,
2009-08,32.840,
2009-09,32.200,
2009-10,32.440,
2009-11,32.150,
2009-12,32.120,
2010-01,31.970,
2010-02,32.030,
2010-03,31.710,
2010-04,31.310,
2010-05,31.940,
2010-06,32.150,
2010-07,31.920,
2010-08,31.980,
2010-09,31.180,
2010-10,30.610,
2010-11,30.380,
2010-12,29.110,
2011-01,28.980,
2011-02,29.820,
2011-03,29.400,
2011-04,28.630,
2011-05,28.600,
2011-06,28.730,
2011-07,28.770,
2011-08,28.980,
2011-09,30.440,
2011-10,29.700,
2011-11,30.250,
2011-12,30.220,
2012-01,29.590,
2012-02,29.390,
2012-03,29.470,
2012-04,29.050,
2012-05,29.770,
2012-06,29.860,
2012-07,29.980,
2012-08,29.880,
2012-09,29.270,
2012-10,29.180,
2012-11,29.020,
2012-12,28.980,
2013-01,29.490,
2013-02,29.600,
2013-03,29.810,
2013-04,29.400,
2013-05,29.880,
2013-06,29.920,
2013-07,29.900,
2013-08,29.850,
2013-09,29.510,
2013-10,29.350,
2013-11,29.550,
2013-12,29.740,
2014-01,30.230,
2014-02,30.250,
2014-03,30.420,
2014-04,30.140,
2014-05,29.920,
2014-06,29.800,
2014-07,29.920,
2014-08,29.840,
2014-09,30.390,
2014-10,30.330,
2014-11,30.860,
2014-12,31.600,
2015-01,31.430,
"","Source: The Central Bank of China, Taipeh, Taiwan.",
