"",BBFN1.M.DE.N.1.L.LY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Libya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:06,
1994-12,0.151,
1995-01,0.143,
1995-02,0.149,
1995-03,0.144,
1995-04,0.148,
1995-05,0.155,
1995-06,0.156,
1995-07,0.155,
1995-08,0.165,
1995-09,0.160,
1995-10,0.155,
1995-11,0.154,
1995-12,0.153,
1996-01,0.152,
1996-02,0.149,
1996-03,0.189,
1996-04,0.180,
1996-05,0.187,
1996-06,0.212,
1996-07,0.223,
1996-08,0.218,
1996-09,0.234,
1996-10,0.218,
1996-11,0.165,
1996-12,0.204,
1997-01,0.170,
1997-02,0.217,
1997-03,0.206,
1997-04,0.201,
1997-05,0.188,
1997-06,0.162,
1997-07,0.157,
1997-08,0.179,
1997-09,0.173,
1997-10,0.177,
1997-11,0.200,
1997-12,0.194,
1998-01,0.215,
1998-02,0.222,
1998-03,0.243,
1998-04,0.233,
1998-05,0.222,
1998-06,0.186,
1998-07,0.219,
1998-08,0.206,
1998-09,0.217,
1998-10,0.228,
1998-11,0.250,
1998-12,0.224,
1999-01,0.225,
1999-02,0.241,
1999-03,0.240,
1999-04,0.255,
1999-05,0.279,
1999-06,0.202,
1999-07,0.272,
1999-08,0.256,
1999-09,0.248,
1999-10,0.254,
1999-11,0.264,
1999-12,0.265,
2000-01,0.290,
2000-02,0.267,
2000-03,0.275,
2000-04,0.305,
2000-05,0.332,
2000-06,0.309,
2000-07,0.337,
2000-08,0.335,
2000-09,0.332,
2000-10,0.329,
2000-11,0.357,
2000-12,0.271,
2001-01,0.261,
2001-02,0.261,
2001-03,0.255,
2001-04,0.249,
2001-05,0.290,
2001-06,0.268,
2001-07,0.285,
2001-08,0.287,
2001-09,0.283,
2001-10,0.297,
2001-11,0.309,
2001-12,0.192,
2002-01,0.180,
2002-02,0.176,
2002-03,0.175,
2002-04,0.212,
2002-05,0.207,
2002-06,0.228,
2002-07,0.248,
2002-08,0.222,
2002-09,0.226,
2002-10,0.232,
2002-11,0.216,
2002-12,0.193,
2003-01,0.226,
2003-02,0.201,
2003-03,0.205,
2003-04,0.203,
2003-05,0.209,
2003-06,0.173,
2003-07,0.186,
2003-08,0.188,
2003-09,0.193,
2003-10,0.208,
2003-11,0.225,
2003-12,0.230,
2004-01,0.234,
2004-02,0.249,
2004-03,0.276,
2004-04,0.289,
2004-05,0.360,
2004-06,0.366,
2004-07,0.360,
2004-08,0.398,
2004-09,0.412,
2004-10,0.477,
2004-11,0.442,
2004-12,0.474,
2005-01,0.484,
2005-02,0.550,
2005-03,0.536,
2005-04,0.577,
2005-05,0.604,
2005-06,0.582,
2005-07,0.583,
2005-08,0.621,
2005-09,0.605,
2005-10,0.669,
2005-11,0.529,
2005-12,0.333,
2006-01,0.292,
2006-02,0.278,
2006-03,0.251,
2006-04,0.328,
2006-05,0.330,
2006-06,0.345,
2006-07,0.340,
2006-08,0.346,
2006-09,0.336,
2006-10,0.331,
2006-11,0.342,
2006-12,0.336,
2007-01,0.353,
2007-02,0.370,
2007-03,0.399,
2007-04,0.387,
2007-05,0.444,
2007-06,0.461,
2007-07,0.486,
2007-08,0.497,
2007-09,0.483,
2007-10,0.511,
2007-11,0.528,
2007-12,0.549,
2008-01,0.609,
2008-02,0.601,
2008-03,0.682,
2008-04,0.670,
2008-05,0.724,
2008-06,1.309,
2008-07,0.919,
2008-08,0.973,
2008-09,0.986,
2008-10,1.060,
2008-11,1.065,
2008-12,1.017,
2009-01,1.066,
2009-02,1.052,
2009-03,1.068,
2009-04,1.093,
2009-05,1.104,
2009-06,1.017,
2009-07,1.061,
2009-08,1.070,
2009-09,1.097,
2009-10,1.108,
2009-11,1.115,
2009-12,1.129,
2010-01,1.112,
2010-02,1.151,
2010-03,1.193,
2010-04,1.243,
2010-05,1.347,
2010-06,1.017,
2010-07,0.996,
2010-08,1.108,
2010-09,1.098,
2010-10,1.122,
2010-11,1.161,
2010-12,0.998,
2011-01,0.998,
2011-02,1.017,
2011-03,0.955,
2011-04,0.919,
2011-05,0.931,
2011-06,0.968,
2011-07,0.953,
2011-08,0.990,
2011-09,1.016,
2011-10,0.989,
2011-11,0.990,
2011-12,1.303,
2012-01,1.036,
2012-02,1.055,
2012-03,1.072,
2012-04,1.115,
2012-05,1.111,
2012-06,1.176,
2012-07,0.983,
2012-08,0.868,
2012-09,0.937,
2012-10,0.947,
2012-11,0.973,
2012-12,0.944,
2013-01,1.074,
2013-02,1.213,
2013-03,1.169,
2013-04,1.022,
2013-05,1.017,
2013-06,1.005,
2013-07,0.908,
2013-08,0.989,
2013-09,0.969,
2013-10,0.972,
2013-11,0.951,
2013-12,0.880,
2014-01,0.889,
2014-02,0.877,
2014-03,0.850,
2014-04,0.883,
2014-05,0.864,
2014-06,0.917,
2014-07,0.798,
2014-08,0.850,
2014-09,0.850,
2014-10,0.767,
2014-11,0.820,
2014-12,0.832,
