"",BBFB1.Q.N.DE.I7.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:50,
1991-01,-4422.326,
1991-04,-4751.061,
1991-07,-6340.124,
1991-10,-3596.948,
1992-01,-4866.875,
1992-04,-5365.619,
1992-07,-6716.696,
1992-10,-4191.588,
1993-01,-4668.843,
1993-04,-5500.286,
1993-07,-6987.670,
1993-10,-3952.243,
1994-01,-4732.527,
1994-04,-6092.372,
1994-07,-7779.131,
1994-10,-4741.543,
1995-01,-5053.873,
1995-04,-5960.628,
1995-07,-7518.493,
1995-10,-4356.690,
1996-01,-5036.191,
1996-04,-6192.928,
1996-07,-7904.567,
1996-10,-4757.464,
1997-01,-5088.509,
1997-04,-6222.055,
1997-07,-8134.567,
1997-10,-4834.168,
1998-01,-4971.727,
1998-04,-6197.636,
1998-07,-8384.729,
1998-10,-4964.380,
1999-01,-5766.578,
1999-04,-7274.788,
1999-07,-9707.531,
1999-10,-6079.070,
2000-01,-6106.216,
2000-04,-7924.992,
2000-07,-10795.558,
2000-10,-6801.672,
2001-01,-7493.196,
2001-04,-8534.191,
2001-07,-10679.186,
2001-10,-5920.657,
2002-01,-6496.424,
2002-04,-7639.867,
2002-07,-9768.978,
2002-10,-5067.096,
2003-01,-6278.451,
2003-04,-7630.480,
2003-07,-11202.351,
2003-10,-5308.822,
2004-01,-5589.411,
2004-04,-6891.711,
2004-07,-8497.105,
2004-10,-4109.652,
2005-01,-5002.738,
2005-04,-5590.158,
2005-07,-9011.856,
2005-10,-3555.396,
2006-01,-4177.782,
2006-04,-5233.729,
2006-07,-7337.970,
2006-10,-2130.457,
2007-01,-4462.388,
2007-04,-5571.137,
2007-07,-8845.079,
2007-10,-3534.100,
2008-01,-4048.004,
2008-04,-5551.423,
2008-07,-8785.007,
2008-10,-3234.292,
2009-01,-4087.148,
2009-04,-4584.661,
2009-07,-7899.702,
2009-10,-2475.439,
2010-01,-4227.028,
2010-04,-6226.517,
2010-07,-8835.759,
2010-10,-4298.672,
2011-01,-4975.471,
2011-04,-6434.787,
2011-07,-9739.407,
2011-10,-4228.878,
2012-01,-5207.024,
2012-04,-7120.533,
2012-07,-10604.221,
2012-10,-4919.639,
2013-01,-7654.567,
2013-04,-9213.305,
2013-07,-12202.765,
2013-10,-6471.554,
2014-01,-6535.042,Provisional value
2014-04,-8635.830,Provisional value
2014-07,-12648.429,Provisional value
