"",BBK01.OEBB07M,BBK01.OEBB07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:26,
2002-01,9.780,
2002-04,9.738,
2002-07,10.049,
2002-10,10.499,
2003-01,10.732,
2003-04,10.931,
2003-07,11.391,
2003-10,11.380,
2004-01,11.271,
2004-04,11.620,
2004-07,12.084,
2004-10,10.811,
2005-01,12.336,
2005-04,11.209,
2005-07,10.549,
2005-10,10.776,
2006-01,10.882,
2006-04,11.344,
2006-07,12.065,
2006-10,11.862,
2007-01,11.490,
2007-04,10.906,
2007-07,11.418,
2007-10,12.012,
2008-01,11.024,
2008-04,11.166,
2008-07,10.552,
2008-10,11.005,
2009-01,11.696,
2009-04,12.735,
2009-07,13.379,
2009-10,13.907,
2010-01,14.239,
2010-04,14.042,
2010-07,14.588,
2010-10,15.001,
2011-01,14.421,
2011-04,14.190,
2011-07,14.158,
2011-10,14.783,
2012-01,15.209,
2012-04,16.050,
2012-07,16.555,
2012-10,17.105,
2013-01,16.537,
2013-04,17.344,
2013-07,17.306,
2013-10,17.849,
2014-01,18.147,
2014-04,17.344,
2014-07,17.954,
