"",BBK01.OEAI01U,BBK01.OEAI01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:09,
2002-01,23.597,
2002-04,23.426,
2002-07,23.511,
2002-10,24.263,
2003-01,23.901,
2003-04,23.743,
2003-07,23.824,
2003-10,24.443,
2004-01,24.246,
2004-04,24.014,
2004-07,24.126,
2004-10,24.735,
2005-01,25.414,
2005-04,25.373,
2005-07,25.423,
2005-10,26.109,
2006-01,25.960,
2006-04,25.779,
2006-07,25.930,
2006-10,26.470,
2007-01,26.492,
2007-04,26.913,
2007-07,27.121,
2007-10,28.070,
2008-01,27.811,
2008-04,27.844,
2008-07,28.363,
2008-10,29.495,
2009-01,29.322,
2009-04,29.351,
2009-07,29.817,
2009-10,30.407,
2010-01,30.330,
2010-04,30.467,
2010-07,30.857,
2010-10,31.633,
2011-01,31.491,
2011-04,31.643,
2011-07,32.093,
2011-10,32.927,
2012-01,32.818,
2012-04,32.865,
2012-07,32.984,
2012-10,33.503,
2013-01,33.104,
2013-04,33.432,
2013-07,33.679,
2013-10,34.312,
2014-01,34.215,
2014-04,34.346,
2014-07,34.755,
