"",BBK01.OEXK01U,BBK01.OEXK01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:01,
2002-01,0.124,
2002-04,0.147,
2002-07,0.152,
2002-10,0.167,
2003-01,0.172,
2003-04,0.177,
2003-07,0.184,
2003-10,0.191,
2004-01,0.185,
2004-04,0.186,
2004-07,0.194,
2004-10,0.205,
2005-01,0.201,
2005-04,0.206,
2005-07,0.223,
2005-10,0.235,
2006-01,0.227,
2006-04,0.234,
2006-07,0.244,
2006-10,0.256,
2007-01,0.251,
2007-04,0.413,
2007-07,0.264,
2007-10,0.274,
2008-01,0.267,
2008-04,0.272,
2008-07,0.276,
2008-10,0.302,
2009-01,0.299,
2009-04,0.307,
2009-07,0.309,
2009-10,0.325,
2010-01,0.322,
2010-04,0.369,
2010-07,0.382,
2010-10,0.393,
2011-01,0.395,
2011-04,0.398,
2011-07,0.418,
2011-10,0.428,
2012-01,0.433,
2012-04,0.439,
2012-07,0.449,
2012-10,0.445,
2013-01,0.449,
2013-04,0.442,
2013-07,0.460,
2013-10,0.487,
2014-01,0.487,
2014-04,0.474,
2014-07,0.484,
