"",BBK01.OEBL08J,BBK01.OEBL08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:58,
2002-01,0.598,
2002-04,0.499,
2002-07,0.482,
2002-10,0.501,
2003-01,0.504,
2003-04,0.501,
2003-07,0.517,
2003-10,0.507,
2004-01,0.482,
2004-04,0.466,
2004-07,0.500,
2004-10,0.505,
2005-01,0.806,
2005-04,0.810,
2005-07,0.796,
2005-10,0.790,
2006-01,0.784,
2006-04,0.774,
2006-07,0.757,
2006-10,0.763,
2007-01,0.771,
2007-04,0.767,
2007-07,0.752,
2007-10,0.759,
2008-01,0.749,
2008-04,0.738,
2008-07,0.712,
2008-10,0.735,
2009-01,0.746,
2009-04,0.778,
2009-07,0.888,
2009-10,0.883,
2010-01,0.886,
2010-04,0.863,
2010-07,0.860,
2010-10,0.875,
2011-01,0.866,
2011-04,0.834,
2011-07,0.819,
2011-10,0.821,
2012-01,0.902,
2012-04,0.886,
2012-07,0.885,
2012-10,0.904,
2013-01,0.858,
2013-04,0.843,
2013-07,0.827,
2013-10,0.836,
2014-01,0.821,
2014-04,0.810,
2014-07,0.817,
