"",BBK01.OEGM02I,BBK01.OEGM02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:20,
2002-01,0.355,
2002-04,0.323,
2002-07,0.296,
2002-10,0.306,
2003-01,0.502,
2003-04,0.550,
2003-07,0.523,
2003-10,0.574,
2004-01,0.491,
2004-04,0.558,
2004-07,0.345,
2004-10,0.243,
2005-01,0.438,
2005-04,0.388,
2005-07,0.501,
2005-10,0.275,
2006-01,0.423,
2006-04,0.690,
2006-07,0.478,
2006-10,0.438,
2007-01,0.181,
2007-04,0.139,
2007-07,0.501,
2007-10,0.512,
2008-01,0.127,
2008-04,0.292,
2008-07,0.056,
2008-10,0.302,
2009-01,0.264,
2009-04,0.133,
2009-07,0.269,
2009-10,0.116,
2010-01,0.409,
2010-04,0.218,
2010-07,0.172,
2010-10,0.406,
2011-01,0.074,
2011-04,0.674,
2011-07,0.831,
2011-10,0.232,
2012-01,0.084,
2012-04,0.667,
2012-07,0.406,
2012-10,0.211,
2013-01,0.337,
2013-04,1.213,
2013-07,0.174,
2013-10,0.157,
2014-01,0.069,
2014-04,0.530,
2014-07,0.445,
