"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.Z5.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:03,
2009-09,192748,
2009-10,190361,
2009-11,193605,
2009-12,192660,
2010-01,194490,
2010-02,194722,
2010-03,197384,
2010-04,196025,
2010-05,195792,
2010-06,197160,
2010-07,198003,
2010-08,202923,
2010-09,201434,
2010-10,202367,
2010-11,199833,
2010-12,198491,
2011-01,196694,
2011-02,199144,
2011-03,200872,
2011-04,200098,
2011-05,202287,
2011-06,201808,
2011-07,202652,
2011-08,201491,
2011-09,199039,
2011-10,197320,
2011-11,193480,
2011-12,196782,
2012-01,202035,
2012-02,204000,
2012-03,205893,
2012-04,204694,
2012-05,204951,
2012-06,204377,
2012-07,208135,
2012-08,209175,
2012-09,208424,
2012-10,207059,
2012-11,205992,
2012-12,206701,
2013-01,202447,
2013-02,203096,
2013-03,203083,
2013-04,206917,
2013-05,206134,
2013-06,201563,
2013-07,201275,
2013-08,201657,
2013-09,201611,
2013-10,202063,
2013-11,202421,
2013-12,200291,
2014-01,201743,
2014-02,201371,
2014-03,203066,
2014-04,202885,
2014-05,205652,
2014-06,207567,
2014-07,208612,
2014-08,210927,
2014-09,213256,
2014-10,216197,
2014-11,215077,
