"",BBFN1.M.DE.N.1.L.W1.S1P.H1.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.H1.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from credit terms used / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:21,
1974-12,5.736,
1975-01,5.420,
1975-02,5.352,
1975-03,5.564,
1975-04,5.506,
1975-05,5.652,
1975-06,5.847,
1975-07,5.754,
1975-08,5.595,
1975-09,5.967,
1975-10,5.988,
1975-11,6.145,
1975-12,6.581,
1976-01,6.296,
1976-02,6.520,
1976-03,6.904,
1976-04,7.082,
1976-05,7.181,
1976-06,7.267,
1976-07,7.420,
1976-08,7.354,
1976-09,7.304,
1976-10,7.463,
1976-11,7.322,
1976-12,7.398,
1977-01,7.125,
1977-02,7.353,
1977-03,7.677,
1977-04,7.410,
1977-05,7.590,
1977-06,7.730,
1977-07,7.645,
1977-08,7.374,
1977-09,7.558,
1977-10,7.734,
1977-11,7.831,
1977-12,7.902,
1978-01,7.634,
1978-02,7.654,
1978-03,7.724,
1978-04,7.758,
1978-05,7.823,
1978-06,7.890,
1978-07,7.646,
1978-08,7.501,
1978-09,7.681,
1978-10,7.964,
1978-11,8.027,
1978-12,8.080,
1979-01,7.799,
1979-02,7.975,
1979-03,8.104,
1979-04,8.111,
1979-05,8.374,
1979-06,8.548,
1979-07,8.587,
1979-08,8.364,
1979-09,8.543,
1979-10,8.887,
1979-11,8.907,
1979-12,9.475,
1980-01,9.154,
1980-02,9.464,
1980-03,9.936,
1980-04,9.645,
1980-05,9.605,
1980-06,9.846,
1980-07,9.808,
1980-08,9.557,
1980-09,9.526,
1980-10,9.747,
1980-11,9.774,
1980-12,10.429,
1981-01,9.891,
1981-02,10.296,
1981-03,10.883,
1981-04,10.840,
1981-05,10.968,
1981-06,11.352,
1981-07,11.331,
1981-08,11.469,
1981-09,11.281,
1981-10,11.250,
1981-11,11.347,
1981-12,11.328,
1982-01,10.606,
1982-02,11.101,
1982-03,11.589,
1982-04,11.645,
1982-05,11.708,
1982-06,11.862,
1982-07,11.481,
1982-08,11.063,
1982-09,11.399,
1982-10,11.907,
1982-11,12.003,
1982-12,11.554,
1983-01,11.030,
1983-02,11.084,
1983-03,11.260,
1983-04,11.429,
1983-05,11.541,
1983-06,11.604,
1983-07,11.545,
1983-08,11.267,
1983-09,11.717,
1983-10,11.864,
1983-11,11.743,
1983-12,12.151,
1984-01,12.194,
1984-02,11.908,
1984-03,12.512,
1984-04,12.386,
1984-05,12.381,
1984-06,12.464,
1984-07,12.302,
1984-08,12.287,
1984-09,12.685,
1984-10,13.207,
1984-11,13.578,
1984-12,13.526,
1985-01,13.167,
1985-02,13.316,
1985-03,13.878,
1985-04,13.583,
1985-05,13.439,
1985-06,13.704,
1985-07,13.423,
1985-08,13.101,
1985-09,13.305,
1985-10,13.837,
1985-11,13.943,
1985-12,13.719,
1986-01,12.934,
1986-02,12.834,
1986-03,13.193,
1986-04,13.064,
1986-05,12.863,
1986-06,12.879,
1986-07,12.140,
1986-08,11.832,
1986-09,12.272,
1986-10,12.650,
1986-11,12.824,
1986-12,12.939,
1987-01,12.425,
1987-02,12.606,
1987-03,12.620,
1987-04,12.265,
1987-05,12.541,
1987-06,12.616,
1987-07,12.382,
1987-08,12.219,
1987-09,12.789,
1987-10,13.262,
1987-11,13.105,
1987-12,13.248,
1988-01,12.888,
1988-02,13.147,
1988-03,13.710,
1988-04,13.441,
1988-05,13.412,
1988-06,13.834,
1988-07,13.556,
1988-08,13.491,
1988-09,14.197,
1988-10,14.414,
1988-11,14.409,
1988-12,15.153,
1989-01,14.591,
1989-02,14.641,
1989-03,15.257,
1989-04,15.165,
1989-05,15.182,
1989-06,15.701,
1989-07,14.713,
1989-08,14.379,
1989-09,15.600,
1989-10,15.518,
1989-11,16.073,
1989-12,16.136,
1990-01,15.007,
1990-02,14.957,
1990-03,15.431,
1990-04,15.484,
1990-05,15.571,
1990-06,16.041,
1990-07,15.706,
1990-08,15.279,
1990-09,16.264,
1990-10,16.818,
1990-11,17.121,
1990-12,17.620,
1991-01,17.022,
1991-02,17.025,
1991-03,17.964,
1991-04,17.896,
1991-05,17.520,
1991-06,18.679,
1991-07,17.834,
1991-08,16.731,
1991-09,18.340,
1991-10,19.038,
1991-11,19.055,
1991-12,18.966,
1992-01,17.611,
1992-02,17.978,
1992-03,18.939,
1992-04,18.656,
1992-05,18.222,
1992-06,18.779,
1992-07,17.816,
1992-08,17.132,
1992-09,18.374,
1992-10,18.819,
1992-11,18.910,
1992-12,18.926,
1993-01,17.845,
1993-02,17.558,
1993-03,18.542,
1993-04,17.854,
1993-05,17.669,
1993-06,18.280,
1993-07,17.510,
1993-08,16.724,
1993-09,18.220,
1993-10,17.967,
1993-11,17.970,
1993-12,18.607,
1994-01,17.209,
1994-02,17.752,
1994-03,19.261,
1994-04,18.983,
1994-05,19.055,
1994-06,19.630,
1994-07,19.550,
1994-08,19.202,
1994-09,21.250,
1994-10,21.682,
1994-11,22.235,
1994-12,22.483,
1995-01,21.294,
1995-02,21.148,
1995-03,22.571,
1995-04,21.826,
1995-05,22.474,
1995-06,23.145,
1995-07,21.977,
1995-08,21.766,
1995-09,23.221,
1995-10,23.565,
1995-11,24.104,
1995-12,23.536,
1996-01,22.465,
1996-02,22.273,
1996-03,22.763,
1996-04,22.426,
1996-05,22.195,
1996-06,22.309,
1996-07,22.106,
1996-08,20.774,
1996-09,22.457,
1996-10,22.276,
1996-11,22.212,
1996-12,23.685,
1997-01,22.627,
1997-02,22.258,
1997-03,23.396,
1997-04,24.225,
1997-05,23.492,
1997-06,23.859,
1997-07,23.906,
1997-08,22.111,
1997-09,24.894,
1997-10,25.426,
1997-11,26.677,
1997-12,26.713,
1998-01,24.948,
1998-02,25.014,
1998-03,26.684,
1998-04,26.249,
1998-05,26.061,
1998-06,27.298,
1998-07,26.262,
1998-08,24.554,
1998-09,28.465,
1998-10,27.435,
1998-11,26.998,
1998-12,27.034,
1999-01,25.206,
1999-02,25.396,
1999-03,28.022,
1999-04,27.463,
1999-05,27.121,
1999-06,28.031,
1999-07,27.520,
1999-08,26.663,
1999-09,28.618,
1999-10,29.095,
1999-11,29.659,
1999-12,31.685,
2000-01,30.570,
2000-02,31.386,
2000-03,33.462,
2000-04,32.445,
2000-05,33.046,
2000-06,34.199,
2000-07,33.635,
2000-08,33.019,
2000-09,35.678,
2000-10,36.693,
2000-11,38.307,
2000-12,37.671,
2001-01,35.523,
2001-02,34.651,
2001-03,37.011,
2001-04,35.089,
2001-05,35.920,
2001-06,37.443,
2001-07,35.217,
2001-08,34.008,
2001-09,35.969,
2001-10,37.108,
2001-11,37.294,
2001-12,39.555,
2002-01,35.481,
2002-02,35.165,
2002-03,36.120,
2002-04,35.383,
2002-05,34.855,
2002-06,35.756,
2002-07,35.347,
2002-08,33.849,
2002-09,35.775,
2002-10,36.479,
2002-11,37.349,
2002-12,38.337,
2003-01,35.415,
2003-02,34.840,
2003-03,37.230,
2003-04,35.443,
2003-05,33.896,
2003-06,35.919,
2003-07,34.729,
2003-08,33.074,
2003-09,34.903,
2003-10,35.974,
2003-11,35.216,
2003-12,35.986,
2004-01,33.351,
2004-02,32.967,
2004-03,36.113,
2004-04,33.598,
2004-05,34.131,
2004-06,35.675,
2004-07,34.999,
2004-08,33.462,
2004-09,37.164,
2004-10,36.973,
2004-11,38.306,
2004-12,38.438,
2005-01,34.943,
2005-02,35.015,
2005-03,37.742,
2005-04,36.977,
2005-05,36.157,
2005-06,39.445,
2005-07,39.099,
2005-08,38.636,
2005-09,42.064,
2005-10,41.365,
2005-11,43.648,
2005-12,45.240,
2006-01,42.249,
2006-02,42.034,
2006-03,44.833,
2006-04,43.185,
2006-05,43.277,
2006-06,45.250,
2006-07,42.645,
2006-08,41.512,
2006-09,44.823,
2006-10,46.093,
2006-11,47.324,
2006-12,49.175,
2007-01,46.861,
2007-02,45.894,
2007-03,50.405,
2007-04,47.460,
2007-05,47.053,
2007-06,49.235,
2007-07,46.850,
2007-08,45.613,
2007-09,49.645,
2007-10,50.308,
2007-11,50.743,
2007-12,50.623,
2008-01,47.855,
2008-02,49.797,
2008-03,50.502,
2008-04,50.387,
2008-05,50.294,
2008-06,49.532,
2008-07,49.571,
2008-08,46.698,
2008-09,50.230,
2008-10,49.504,
2008-11,48.659,
2008-12,45.667,
2009-01,41.171,
2009-02,39.880,
2009-03,41.840,
2009-04,39.109,
2009-05,39.030,
2009-06,42.033,
2009-07,41.341,
2009-08,38.998,
2009-09,42.280,
2009-10,42.990,
2009-11,44.336,
2009-12,44.929,
2010-01,41.422,
2010-02,43.145,
2010-03,45.988,
2010-04,44.284,
2010-05,46.161,
2010-06,48.691,
2010-07,46.983,
2010-08,44.785,
2010-09,50.519,
2010-10,50.180,
2010-11,50.620,
2010-12,52.976,
2011-01,48.751,
2011-02,49.738,
2011-03,50.983,
2011-04,50.449,
2011-05,49.816,
2011-06,51.901,
2011-07,51.020,
2011-08,47.247,
2011-09,53.420,
2011-10,52.958,
2011-11,52.984,
2011-12,54.313,
2012-01,48.480,
2012-02,50.529,
2012-03,52.288,
2012-04,49.827,
2012-05,50.448,
2012-06,52.012,
2012-07,50.484,
2012-08,47.078,
2012-09,51.915,
2012-10,53.432,
2012-11,55.417,
2012-12,56.791,
2013-01,52.808,
2013-02,52.808,
2013-03,53.569,
2013-04,51.136,
2013-05,51.109,
2013-06,51.582,
2013-07,51.032,
2013-08,50.379,
2013-09,54.409,
2013-10,55.162,
2013-11,54.494,
2013-12,54.486,
2014-01,50.326,
2014-02,52.112,
2014-03,54.128,
2014-04,52.667,
2014-05,52.942,
2014-06,54.891,
2014-07,54.759,
2014-08,51.266,
2014-09,57.002,
2014-10,56.601,
2014-11,57.250,
2014-12,55.983,
