"",BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:30,
1991-01,26.657,
1991-04,131.371,
1991-07,101.913,
1991-10,96.987,
1992-01,29.535,
1992-04,64.588,
1992-07,-13.162,
1992-10,-48.564,
1993-01,0.893,
1993-04,130.932,
1993-07,-23.619,
1993-10,0.962,
1994-01,58.556,
1994-04,147.313,
1994-07,87.035,
1994-10,7.576,
1995-01,183.737,
1995-04,247.973,
1995-07,-95.382,
1995-10,-71.317,
1996-01,258.952,
1996-04,-107.187,
1996-07,117.485,
1996-10,-171.353,
1997-01,138.988,
1997-04,285.512,
1997-07,46.838,
1997-10,522.969,
1998-01,269.280,
1998-04,1.673,
1998-07,129.576,
1998-10,106.488,
1999-01,1431.276,
1999-04,325.080,
1999-07,-4.505,
1999-10,-132.318,
2000-01,813.139,
2000-04,47.545,
2000-07,922.050,
2000-10,55.757,
2001-01,980.298,
2001-04,638.972,
2001-07,-109.053,
2001-10,1217.964,
2002-01,-284.694,
2002-04,-78.475,
2002-07,733.373,
2002-10,841.778,
2003-01,431.110,
2003-04,-697.116,
2003-07,-320.495,
2003-10,1416.043,
2004-01,148.807,
2004-04,600.874,
2004-07,-390.163,
2004-10,-584.038,
2005-01,664.295,
2005-04,721.781,
2005-07,419.270,
2005-10,-2167.958,
2006-01,1664.103,
2006-04,1412.635,
2006-07,65.298,
2006-10,-808.797,
2007-01,-575.282,
2007-04,204.580,
2007-07,-718.965,
2007-10,-133.275,
2008-01,1154.654,
2008-04,1977.756,
2008-07,1655.426,
2008-10,-1772.281,
2009-01,508.195,
2009-04,-860.516,
2009-07,2765.045,
2009-10,889.670,
2010-01,-286.647,
2010-04,228.955,
2010-07,-609.192,
2010-10,1128.174,
2011-01,601.533,
2011-04,-854.817,
2011-07,4738.075,
2011-10,1189.363,
2012-01,10418.121,
2012-04,10604.502,
2012-07,-101.483,
2012-10,9912.689,
2013-01,1283.648,
2013-04,8275.813,
2013-07,1033.286,
2013-10,140.846,
2014-01,68.496,Provisional value
2014-04,1733.583,Provisional value
2014-07,-63.296,Provisional value
2014-10,-56.845,Provisional value
