"",BBK01.OEBK03G,BBK01.OEBK03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:03,
2002-01,1.008,
2002-04,0.981,
2002-07,1.130,
2002-10,1.106,
2003-01,0.884,
2003-04,0.809,
2003-07,0.686,
2003-10,0.646,
2004-01,0.583,
2004-04,0.576,
2004-07,0.576,
2004-10,0.653,
2005-01,0.542,
2005-04,0.533,
2005-07,0.393,
2005-10,0.436,
2006-01,0.500,
2006-04,0.521,
2006-07,0.564,
2006-10,0.682,
2007-01,0.718,
2007-04,0.732,
2007-07,0.785,
2007-10,1.010,
2008-01,0.965,
2008-04,1.045,
2008-07,1.135,
2008-10,1.037,
2009-01,0.777,
2009-04,0.836,
2009-07,0.700,
2009-10,0.492,
2010-01,0.368,
2010-04,0.258,
2010-07,0.278,
2010-10,0.287,
2011-01,0.308,
2011-04,0.320,
2011-07,0.339,
2011-10,0.362,
2012-01,0.340,
2012-04,0.314,
2012-07,0.297,
2012-10,0.325,
2013-01,0.318,
2013-04,0.330,
2013-07,0.345,
2013-10,0.281,
2014-01,0.252,
2014-04,0.378,
2014-07,0.578,
