"",BBK01.OEBJ06N,BBK01.OEBJ06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:39,
2002-01,0.205,
2002-04,0.204,
2002-07,0.203,
2002-10,0.198,
2003-01,0.187,
2003-04,0.191,
2003-07,0.186,
2003-10,0.182,
2004-01,0.173,
2004-04,0.176,
2004-07,0.143,
2004-10,0.115,
2005-01,0.085,
2005-04,0.079,
2005-07,0.075,
2005-10,0.079,
2006-01,0.079,
2006-04,0.077,
2006-07,0.078,
2006-10,0.080,
2007-01,0.078,
2007-04,0.076,
2007-07,0.076,
2007-10,0.073,
2008-01,0.066,
2008-04,0.062,
2008-07,0.060,
2008-10,0.055,
2009-01,0.043,
2009-04,0.038,
2009-07,0.032,
2009-10,0.029,
2010-01,0.026,
2010-04,0.028,
2010-07,0.027,
2010-10,0.020,
2011-01,0.018,
2011-04,0.019,
2011-07,0.019,
2011-10,0.015,
2012-01,0.015,
2012-04,0.015,
2012-07,0.015,
2012-10,0.019,
2013-01,0.018,
2013-04,0.016,
2013-07,0.071,
2013-10,0.070,
2014-01,0.073,
2014-04,0.092,
2014-07,0.078,
