"",BBK01.OELB20I,BBK01.OELB20I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:35,
2002-01,1.703,
2002-04,1.749,
2002-07,1.791,
2002-10,1.787,
2003-01,1.826,
2003-04,1.889,
2003-07,1.967,
2003-10,2.053,
2004-01,2.092,
2004-04,2.098,
2004-07,2.159,
2004-10,2.253,
2005-01,2.242,
2005-04,2.269,
2005-07,2.270,
2005-10,2.269,
2006-01,2.206,
2006-04,2.196,
2006-07,2.202,
2006-10,2.058,
2007-01,2.040,
2007-04,2.037,
2007-07,2.053,
2007-10,1.982,
2008-01,1.974,
2008-04,1.995,
2008-07,2.012,
2008-10,1.976,
2009-01,1.983,
2009-04,1.995,
2009-07,2.023,
2009-10,2.040,
2010-01,2.134,
2010-04,2.171,
2010-07,2.206,
2010-10,2.218,
2011-01,2.276,
2011-04,2.309,
2011-07,2.335,
2011-10,2.350,
2012-01,2.367,
2012-04,2.585,
2012-07,2.616,
2012-10,2.645,
2013-01,2.681,
2013-04,2.729,
2013-07,2.769,
2013-10,2.836,
2014-01,2.722,
2014-04,2.780,
2014-07,2.877,
