"",BBDE1.M.DE.Y.JAA9.P2XF50500.CN.V.ABA.A,BBDE1.M.DE.Y.JAA9.P2XF50500.CN.V.ABA.A_FLAGS
"","Construction permits - estimated construction cost / At current prices, flows / Germany / Total (including construction work on existing buildings) - non-residential buildings, total / Industrial construction / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-15 11:09:26,
1994-01,3.16,
1994-02,2.68,
1994-03,2.68,
1994-04,2.70,
1994-05,2.80,
1994-06,2.59,
1994-07,2.81,
1994-08,2.16,
1994-09,2.32,
1994-10,3.25,
1994-11,3.35,
1994-12,3.06,
1995-01,2.76,
1995-02,2.78,
1995-03,2.71,
1995-04,2.84,
1995-05,2.81,
1995-06,2.68,
1995-07,2.69,
1995-08,2.83,
1995-09,2.36,
1995-10,2.34,
1995-11,2.14,
1995-12,2.85,
1996-01,2.35,
1996-02,2.11,
1996-03,2.73,
1996-04,2.51,
1996-05,2.29,
1996-06,2.42,
1996-07,2.70,
1996-08,2.20,
1996-09,2.41,
1996-10,2.38,
1996-11,2.33,
1996-12,2.99,
1997-01,2.39,
1997-02,2.38,
1997-03,2.13,
1997-04,2.07,
1997-05,2.20,
1997-06,2.25,
1997-07,2.03,
1997-08,2.25,
1997-09,2.01,
1997-10,2.25,
1997-11,2.11,
1997-12,2.02,
1998-01,1.87,
1998-02,2.17,
1998-03,1.85,
1998-04,2.05,
1998-05,2.42,
1998-06,2.17,
1998-07,2.01,
1998-08,2.25,
1998-09,2.04,
1998-10,2.13,
1998-11,2.24,
1998-12,2.19,
1999-01,2.30,
1999-02,2.11,
1999-03,2.20,
1999-04,2.07,
1999-05,1.96,
1999-06,2.24,
1999-07,1.89,
1999-08,2.28,
1999-09,2.37,
1999-10,2.04,
1999-11,2.13,
1999-12,1.76,
2000-01,2.07,
2000-02,1.85,
2000-03,2.31,
2000-04,1.87,
2000-05,2.11,
2000-06,2.18,
2000-07,2.10,
2000-08,2.05,
2000-09,2.29,
2000-10,1.93,
2000-11,2.16,
2000-12,2.00,
2001-01,2.09,
2001-02,2.23,
2001-03,2.27,
2001-04,2.30,
2001-05,2.04,
2001-06,1.88,
2001-07,2.22,
2001-08,2.13,
2001-09,1.82,
2001-10,2.24,
2001-11,2.26,
2001-12,1.95,
2002-01,2.04,
2002-02,2.14,
2002-03,1.74,
2002-04,2.04,
2002-05,1.78,
2002-06,1.65,
2002-07,1.83,
2002-08,1.55,
2002-09,1.76,
2002-10,2.00,
2002-11,1.74,
2002-12,1.68,
2003-01,1.75,
2003-02,1.59,
2003-03,1.71,
2003-04,1.49,
2003-05,2.23,
2003-06,1.98,
2003-07,1.57,
2003-08,1.44,
2003-09,1.57,
2003-10,1.35,
2003-11,1.36,
2003-12,1.48,
2004-01,1.47,
2004-02,1.42,
2004-03,1.50,
2004-04,1.34,
2004-05,1.43,
2004-06,1.62,
2004-07,1.28,
2004-08,1.34,
2004-09,1.44,
2004-10,1.34,
2004-11,1.30,
2004-12,1.51,
2005-01,1.42,
2005-02,1.41,
2005-03,1.43,
2005-04,1.25,
2005-05,1.37,
2005-06,1.24,
2005-07,1.24,
2005-08,1.38,
2005-09,1.46,
2005-10,1.52,
2005-11,1.35,
2005-12,1.31,
2006-01,1.36,
2006-02,1.48,
2006-03,1.80,
2006-04,1.70,
2006-05,1.54,
2006-06,1.57,
2006-07,1.71,
2006-08,1.63,
2006-09,1.72,
2006-10,1.59,
2006-11,1.52,
2006-12,1.53,
2007-01,1.71,
2007-02,1.48,
2007-03,1.45,
2007-04,2.30,
2007-05,1.74,
2007-06,1.74,
2007-07,1.79,
2007-08,1.91,
2007-09,1.95,
2007-10,1.73,
2007-11,2.09,
2007-12,1.95,
2008-01,1.84,
2008-02,2.17,
2008-03,2.14,
2008-04,2.28,
2008-05,1.91,
2008-06,2.33,
2008-07,2.21,
2008-08,2.12,
2008-09,1.98,
2008-10,2.11,
2008-11,1.84,
2008-12,2.09,
2009-01,2.11,
2009-02,1.78,
2009-03,1.81,
2009-04,1.66,
2009-05,1.67,
2009-06,1.59,
2009-07,1.64,
2009-08,1.76,
2009-09,1.44,
2009-10,1.75,
2009-11,1.51,
2009-12,1.61,
2010-01,1.39,
2010-02,1.50,
2010-03,1.44,
2010-04,1.58,
2010-05,1.55,
2010-06,1.52,
2010-07,1.55,
2010-08,1.59,
2010-09,1.68,
2010-10,1.63,
2010-11,1.56,
2010-12,1.54,
2011-01,1.69,
2011-02,1.86,
2011-03,1.90,
2011-04,1.68,
2011-05,1.84,
2011-06,1.85,
2011-07,1.55,
2011-08,1.74,
2011-09,1.92,
2011-10,2.29,
2011-11,2.22,
2011-12,2.29,
2012-01,1.98,
2012-02,1.98,
2012-03,1.80,
2012-04,1.95,
2012-05,2.19,
2012-06,2.25,
2012-07,2.05,
2012-08,1.92,
2012-09,1.80,
2012-10,1.86,
2012-11,2.05,
2012-12,1.77,
2013-01,2.18,
2013-02,1.78,
2013-03,1.92,
2013-04,1.99,
2013-05,1.83,
2013-06,1.93,
2013-07,2.02,
2013-08,1.96,
2013-09,2.30,
2013-10,1.92,
2013-11,1.86,
2013-12,2.03,
2014-01,2.11,
2014-02,2.41,
2014-03,2.11,
2014-04,2.13,
2014-05,2.05,
2014-06,1.83,
2014-07,2.04,
2014-08,2.07,
2014-09,1.91,
2014-10,2.06,
2014-11,1.89,
