"",BBDE1.M.DE.W.AEN1.A2P340000.F.V.I10.A,BBDE1.M.DE.W.AEN1.A2P340000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, domestic / At current prices, flows / Germany / Non-durable goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:59,
2010-01,102.9,
2010-02,104.4,
2010-03,107.2,
2010-04,92.0,
2010-05,92.3,
2010-06,95.8,
2010-07,105.8,
2010-08,104.2,
2010-09,103.7,
2010-10,98.8,
2010-11,100.4,
2010-12,87.5,
2011-01,98.5,
2011-02,109.3,
2011-03,106.0,
2011-04,93.9,
2011-05,96.2,
2011-06,97.1,
2011-07,108.5,
2011-08,106.1,
2011-09,106.7,
2011-10,104.0,
2011-11,100.9,
2011-12,86.4,
2012-01,97.0,
2012-02,108.3,
2012-03,105.6,
2012-04,91.8,
2012-05,94.7,
2012-06,94.5,
2012-07,104.1,
2012-08,102.9,
2012-09,98.7,
2012-10,101.8,
2012-11,97.0,
2012-12,82.3,
2013-01,96.7,
2013-02,107.4,
2013-03,103.7,
2013-04,93.1,
2013-05,95.1,
2013-06,94.7,
2013-07,106.8,
2013-08,104.4,
2013-09,102.1,
2013-10,101.4,
2013-11,103.0,
2013-12,85.6,
2014-01,105.7,
2014-02,113.1,
2014-03,110.0,
2014-04,97.4,
2014-05,96.9,
2014-06,97.9,
2014-07,110.6,
2014-08,106.7,
2014-09,103.2,
2014-10,105.2,
2014-11,101.4,
2014-12,90.5,Provisional value
