"",BBFB1.Q.N.DE.U3.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:01,
1991-01,2330.600,
1991-04,2558.767,
1991-07,2745.473,
1991-10,2457.953,
1992-01,2360.365,
1992-04,2455.865,
1992-07,2476.570,
1992-10,2612.667,
1993-01,2448.619,
1993-04,2395.062,
1993-07,2702.185,
1993-10,2585.845,
1994-01,2440.857,
1994-04,2449.046,
1994-07,2533.798,
1994-10,2477.599,
1995-01,2755.084,
1995-04,2534.373,
1995-07,2717.321,
1995-10,2810.610,
1996-01,2717.749,
1996-04,2795.157,
1996-07,2885.241,
1996-10,3068.633,
1997-01,2939.562,
1997-04,3222.037,
1997-07,3524.307,
1997-10,3601.406,
1998-01,3430.097,
1998-04,3599.635,
1998-07,3950.538,
1998-10,3962.280,
1999-01,3182.065,
1999-04,3869.106,
1999-07,4296.359,
1999-10,4150.912,
2000-01,4153.567,
2000-04,4351.227,
2000-07,4523.312,
2000-10,4879.334,
2001-01,4452.552,
2001-04,4848.403,
2001-07,4892.969,
2001-10,5502.772,
2002-01,5035.694,
2002-04,5783.124,
2002-07,6125.561,
2002-10,6382.577,
2003-01,4875.769,
2003-04,5063.168,
2003-07,5336.957,
2003-10,6152.916,
2004-01,5285.731,
2004-04,6222.299,
2004-07,6236.743,
2004-10,6824.280,
2005-01,5699.094,
2005-04,6198.073,
2005-07,6618.032,
2005-10,7125.697,
2006-01,6788.574,
2006-04,7311.978,
2006-07,7759.611,
2006-10,8302.427,
2007-01,6990.969,
2007-04,7812.454,
2007-07,7931.110,
2007-10,8711.892,
2008-01,7701.132,
2008-04,8033.521,
2008-07,8299.656,
2008-10,9307.724,
2009-01,7567.191,
2009-04,7414.053,
2009-07,7941.710,
2009-10,8955.955,
2010-01,7371.998,
2010-04,8069.918,
2010-07,8722.010,
2010-10,8970.853,
2011-01,7873.912,
2011-04,8150.707,
2011-07,8794.315,
2011-10,10010.782,
2012-01,8502.653,
2012-04,8847.711,
2012-07,9781.221,
2012-10,9782.643,
2013-01,8642.350,
2013-04,9298.004,
2013-07,9980.568,
2013-10,10416.634,
2014-01,9039.825,Provisional value
2014-04,9707.172,Provisional value
2014-07,10246.149,Provisional value
