"",BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.CA.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:35,
1991-01,-43.864,
1991-04,68.240,
1991-07,44.650,
1991-10,-3.641,
1992-01,9.560,
1992-04,-1.331,
1992-07,41.696,
1992-10,-25.256,
1993-01,-155.921,
1993-04,38.881,
1993-07,133.975,
1993-10,26.297,
1994-01,152.793,
1994-04,23.160,
1994-07,71.084,
1994-10,-35.672,
1995-01,17.663,
1995-04,153.085,
1995-07,-92.011,
1995-10,305.210,
1996-01,-95.344,
1996-04,-282.407,
1996-07,2484.731,
1996-10,561.478,
1997-01,1082.762,
1997-04,200.765,
1997-07,2612.715,
1997-10,-26.086,
1998-01,879.971,
1998-04,3440.907,
1998-07,1261.178,
1998-10,-2359.345,
1999-01,-251.097,
1999-04,758.683,
1999-07,1004.502,
1999-10,1610.241,
2000-01,-462.871,
2000-04,-221.643,
2000-07,2721.652,
2000-10,-1466.380,
2001-01,-916.923,
2001-04,711.347,
2001-07,-3404.340,
2001-10,-8378.695,
2002-01,-63.253,
2002-04,-635.334,
2002-07,-238.690,
2002-10,134.239,
2003-01,-12.328,
2003-04,135.669,
2003-07,-24.440,
2003-10,42.388,
2004-01,-253.753,
2004-04,368.612,
2004-07,110.122,
2004-10,479.493,
2005-01,58.774,
2005-04,169.510,
2005-07,-66.989,
2005-10,-210.499,
2006-01,-265.681,
2006-04,-407.657,
2006-07,-243.861,
2006-10,786.443,
2007-01,1457.004,
2007-04,507.032,
2007-07,-588.728,
2007-10,381.941,
2008-01,-40.686,
2008-04,-259.530,
2008-07,-12.074,
2008-10,-142.005,
2009-01,-42.210,
2009-04,-116.304,
2009-07,1192.359,
2009-10,-69.064,
2010-01,964.689,
2010-04,-173.760,
2010-07,-206.694,
2010-10,-32.979,
2011-01,-469.879,
2011-04,-209.691,
2011-07,157.005,
2011-10,-142.984,
2012-01,37.465,
2012-04,-147.870,
2012-07,-36.632,
2012-10,221.940,
2013-01,170.034,
2013-04,511.557,
2013-07,-42.878,
2013-10,-182.575,
2014-01,182.706,Provisional value
2014-04,-57.184,Provisional value
2014-07,-13.026,Provisional value
2014-10,-17.097,Provisional value
