"",BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:32,
1991-01,24.645,
1991-04,7.206,
1991-07,53.608,
1991-10,17.406,
1992-01,-3.337,
1992-04,7.347,
1992-07,9.132,
1992-10,17.326,
1993-01,-11.111,
1993-04,55.928,
1993-07,1.520,
1993-10,-25.226,
1994-01,70.855,
1994-04,109.457,
1994-07,61.320,
1994-10,86.854,
1995-01,7.797,
1995-04,0.406,
1995-07,27.781,
1995-10,54.338,
1996-01,106.325,
1996-04,47.626,
1996-07,104.519,
1996-10,162.614,
1997-01,193.509,
1997-04,45.049,
1997-07,97.133,
1997-10,10.251,
1998-01,196.183,
1998-04,110.860,
1998-07,4.040,
1998-10,17.422,
1999-01,103.475,
1999-04,369.819,
1999-07,152.469,
1999-10,-182.228,
2000-01,279.876,
2000-04,148.309,
2000-07,1739.069,
2000-10,85.723,
2001-01,79.974,
2001-04,24.330,
2001-07,-139.679,
2001-10,183.682,
2002-01,-676.555,
2002-04,363.002,
2002-07,433.930,
2002-10,274.879,
2003-01,-95.825,
2003-04,-173.096,
2003-07,102.584,
2003-10,54.694,
2004-01,418.053,
2004-04,-352.522,
2004-07,201.542,
2004-10,677.962,
2005-01,192.160,
2005-04,288.045,
2005-07,40.114,
2005-10,-1616.215,
2006-01,-134.629,
2006-04,-34.083,
2006-07,-331.872,
2006-10,5.497,
2007-01,-132.855,
2007-04,-20.883,
2007-07,802.266,
2007-10,460.003,
2008-01,-95.759,
2008-04,142.218,
2008-07,95.956,
2008-10,1181.637,
2009-01,652.191,
2009-04,165.283,
2009-07,-98.420,
2009-10,7.482,
2010-01,-0.688,
2010-04,224.817,
2010-07,300.538,
2010-10,837.220,
2011-01,-695.370,
2011-04,289.173,
2011-07,-250.951,
2011-10,-628.833,
2012-01,-43.279,
2012-04,5.545,
2012-07,1157.072,
2012-10,56.944,
2013-01,-54.450,
2013-04,-465.919,
2013-07,400.095,
2013-10,37.853,
2014-01,-50.539,Provisional value
2014-04,457.644,Provisional value
2014-07,-275.835,Provisional value
2014-10,118.504,Provisional value
