"",BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:22,
1991-01,0.522,
1991-04,0.522,
1991-07,0.522,
1991-10,0.522,
1992-01,0.237,
1992-04,0.342,
1992-07,0.348,
1992-10,0.348,
1993-01,-16.254,
1993-04,-16.254,
1993-07,-16.254,
1993-10,-16.254,
1994-01,3.605,
1994-04,3.605,
1994-07,3.605,
1994-10,2.664,
1995-01,0.782,
1995-04,1.549,
1995-07,1.338,
1995-10,-5.327,
1996-01,-26.257,
1996-04,-28.801,
1996-07,-27.003,
1996-10,-25.126,
1997-01,-31.444,
1997-04,-34.001,
1997-07,-31.444,
1997-10,-31.451,
1998-01,-0.166,
1998-04,-,Nothing exists
1998-07,-0.302,
1998-10,-0.134,
1999-01,12.000,
1999-04,-15.661,
1999-07,14.862,
1999-10,-1.526,
2000-01,14.948,
2000-04,12.987,
2000-07,9.744,
2000-10,10.831,
2001-01,-15.929,
2001-04,-47.577,
2001-07,-19.524,
2001-10,-46.027,
2002-01,-3.867,
2002-04,-88.944,
2002-07,-29.700,
2002-10,-21.584,
2003-01,11.459,
2003-04,-3.615,
2003-07,-11.797,
2003-10,15.434,
2004-01,266.659,
2004-04,250.098,
2004-07,242.709,
2004-10,284.472,
2005-01,321.984,
2005-04,159.383,
2005-07,306.785,
2005-10,268.410,
2006-01,311.284,
2006-04,162.016,
2006-07,280.344,
2006-10,167.002,
2007-01,596.482,
2007-04,434.956,
2007-07,447.489,
2007-10,232.998,
2008-01,448.691,
2008-04,15.025,
2008-07,30.868,
2008-10,168.479,
2009-01,247.790,
2009-04,149.413,
2009-07,349.636,
2009-10,365.347,
2010-01,147.189,
2010-04,241.051,
2010-07,407.539,
2010-10,430.675,
2011-01,408.706,
2011-04,262.056,
2011-07,284.972,
2011-10,309.887,
2012-01,477.329,
2012-04,174.034,
2012-07,316.202,
2012-10,429.717,
2013-01,380.978,
2013-04,163.842,
2013-07,273.335,
2013-10,330.020,
2014-01,383.288,Provisional value
2014-04,195.791,Provisional value
2014-07,272.894,Provisional value
2014-10,342.526,Provisional value
