"",BBK01.OEAC46R,BBK01.OEAC46R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:31,
2002-01,7.489,
2002-04,7.489,
2002-07,7.513,
2002-10,7.558,
2003-01,7.551,
2003-04,7.536,
2003-07,7.497,
2003-10,7.610,
2004-01,7.472,
2004-04,7.422,
2004-07,7.401,
2004-10,7.418,
2005-01,7.393,
2005-04,7.323,
2005-07,7.321,
2005-10,7.278,
2006-01,7.352,
2006-04,7.427,
2006-07,7.439,
2006-10,7.525,
2007-01,7.478,
2007-04,7.170,
2007-07,7.134,
2007-10,7.337,
2008-01,7.582,
2008-04,7.662,
2008-07,7.673,
2008-10,7.927,
2009-01,7.927,
2009-04,8.125,
2009-07,8.207,
2009-10,8.538,
2010-01,8.626,
2010-04,8.745,
2010-07,8.945,
2010-10,9.080,
2011-01,9.206,
2011-04,9.326,
2011-07,9.432,
2011-10,9.694,
2012-01,9.840,
2012-04,10.339,
2012-07,10.621,
2012-10,10.898,
2013-01,10.942,
2013-04,11.120,
2013-07,11.249,
2013-10,11.495,
2014-01,11.624,
2014-04,11.594,
2014-07,11.681,
