"",BBK01.OEHO02G,BBK01.OEHO02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:38,
2002-01,4.481,
2002-04,3.447,
2002-07,3.144,
2002-10,3.955,
2003-01,3.993,
2003-04,3.123,
2003-07,3.087,
2003-10,3.772,
2004-01,4.113,
2004-04,3.297,
2004-07,3.421,
2004-10,4.388,
2005-01,5.120,
2005-04,3.739,
2005-07,3.735,
2005-10,3.637,
2006-01,4.279,
2006-04,4.013,
2006-07,3.737,
2006-10,4.811,
2007-01,4.684,
2007-04,3.931,
2007-07,3.555,
2007-10,4.384,
2008-01,4.001,
2008-04,3.374,
2008-07,3.445,
2008-10,4.689,
2009-01,4.485,
2009-04,4.854,
2009-07,5.229,
2009-10,5.696,
2010-01,4.950,
2010-04,3.857,
2010-07,3.378,
2010-10,4.179,
2011-01,3.889,
2011-04,3.575,
2011-07,3.499,
2011-10,3.500,
2012-01,3.775,
2012-04,3.597,
2012-07,3.505,
2012-10,3.940,
2013-01,3.752,
2013-04,3.284,
2013-07,3.208,
2013-10,3.131,
2014-01,3.127,
2014-04,2.951,
2014-07,2.729,
