"",BBK01.OEAF23Q,BBK01.OEAF23Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:29,
2002-01,0.821,
2002-04,0.808,
2002-07,0.798,
2002-10,0.790,
2003-01,0.814,
2003-04,0.844,
2003-07,0.857,
2003-10,0.844,
2004-01,0.759,
2004-04,0.412,
2004-07,0.420,
2004-10,0.427,
2005-01,0.431,
2005-04,0.426,
2005-07,0.421,
2005-10,0.416,
2006-01,0.400,
2006-04,0.403,
2006-07,0.387,
2006-10,0.376,
2007-01,0.377,
2007-04,0.368,
2007-07,0.356,
2007-10,0.343,
2008-01,0.332,
2008-04,0.318,
2008-07,0.309,
2008-10,0.301,
2009-01,0.294,
2009-04,0.291,
2009-07,0.287,
2009-10,0.282,
2010-01,0.282,
2010-04,0.319,
2010-07,0.285,
2010-10,0.296,
2011-01,0.308,
2011-04,0.329,
2011-07,0.350,
2011-10,0.371,
2012-01,0.383,
2012-04,0.391,
2012-07,0.399,
2012-10,0.403,
2013-01,0.424,
2013-04,0.428,
2013-07,0.405,
2013-10,0.405,
2014-01,0.402,
2014-04,0.409,
2014-07,0.410,
