"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:04,
1991-01,2063.094,
1991-04,6396.181,
1991-07,12791.115,
1991-10,14153.360,
1992-01,3289.596,
1992-04,2709.909,
1992-07,25439.884,
1992-10,28260.860,
1993-01,38529.606,
1993-04,32644.488,
1993-07,22199.011,
1993-10,29502.047,
1994-01,-4143.593,
1994-04,-5926.126,
1994-07,6159.844,
1994-10,11524.961,
1995-01,402.868,
1995-04,17450.588,
1995-07,9945.213,
1995-10,10622.262,
1996-01,16238.683,
1996-04,14891.436,
1996-07,20626.901,
1996-10,20512.508,
1997-01,22237.783,
1997-04,17538.834,
1997-07,27728.615,
1997-10,13287.732,
1998-01,22773.548,
1998-04,36555.789,
1998-07,46483.161,
1998-10,29755.027,
1999-01,22482.448,
1999-04,47926.407,
1999-07,56214.601,
1999-10,41466.768,
2000-01,-84806.623,
2000-04,84789.308,
2000-07,28267.725,
2000-10,22842.131,
2001-01,5384.621,
2001-04,83010.754,
2001-07,39720.240,
2001-10,28592.220,
2002-01,29154.577,
2002-04,54838.469,
2002-07,42072.572,
2002-10,4088.845,
2003-01,36274.775,
2003-04,35488.039,
2003-07,-2053.259,
2003-10,30471.346,
2004-01,43927.699,
2004-04,5430.294,
2004-07,54426.165,
2004-10,15364.078,
2005-01,54301.297,
2005-04,66910.341,
2005-07,38699.263,
2005-10,15855.053,
2006-01,56000.776,
2006-04,6453.418,
2006-07,23734.579,
2006-10,58443.413,
2007-01,63781.692,
2007-04,104831.408,
2007-07,48694.297,
2007-10,84517.634,
2008-01,16839.620,
2008-04,24309.736,
2008-07,22915.151,
2008-10,-51332.011,
2009-01,-23385.502,
2009-04,34953.850,
2009-07,331.272,
2009-10,-18018.683,
2010-01,15812.348,
2010-04,2642.311,
2010-07,34308.033,
2010-10,4836.138,
2011-01,34952.273,
2011-04,38353.216,
2011-07,17056.618,
2011-10,-40780.826,
2012-01,7932.697,
2012-04,26700.351,
2012-07,504.669,
2012-10,9938.188,
2013-01,5129.091,
2013-04,-13195.326,
2013-07,-5721.112,
2013-10,-10325.739,
2014-01,9344.303,Provisional value
2014-04,18646.633,Provisional value
2014-07,3987.428,Provisional value
2014-10,-9210.589,Provisional value
