"",BBK01.CEHF01,BBK01.CEHF01_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:12:54,
1991-01,4.1,
1991-04,-1.1,
1991-07,-0.2,
1991-10,-1.2,
1992-01,-1.7,
1992-04,-1.4,
1992-07,-0.8,
1992-10,-0.3,
1993-01,-1.2,
1993-04,0.6,
1993-07,0.3,
1993-10,1.7,
1994-01,3.7,
1994-04,-1.2,
1994-07,-1.0,
1994-10,3.3,
1995-01,5.2,
1995-04,-0.5,
1995-07,0.0,
1995-10,2.0,
1996-01,-1.5,
1996-04,-3.7,
1996-07,-0.2,
1996-10,1.2,
1997-01,-0.5,
1997-04,-2.8,
1997-07,0.0,
1997-10,-0.6,
1998-01,0.7,
1998-04,0.4,
1998-07,0.4,
1998-10,0.6,
1999-01,-1.1,
1999-04,-2.3,
1999-07,-3.8,
1999-10,-3.7,
2000-01,9.5,
2000-04,5.3,
2000-07,-10.3,
2000-10,14.7,
2001-01,4.6,
2001-04,5.1,
2001-07,-1.8,
2001-10,4.6,
2002-01,22.5,
2002-04,9.7,
2002-07,9.6,
2002-10,-9.6,
2003-01,7.9,
2003-04,1.7,
2003-07,1.5,
2003-10,-2.0,
2004-01,-3.4,
2004-04,-2.3,
2004-07,1.9,
2004-10,-0.8,
2005-01,-20.5,
2005-04,-0.7,
2005-07,3.7,
2005-10,-5.5,
2006-01,14.0,
2006-04,1.1,
2006-07,10.1,
2006-10,2.2,
2007-01,-5.2,
2007-04,-2.9,
2007-07,2.2,
2007-10,10.9,
2008-01,4.3,
2008-04,-3.5,
2008-07,-3.0,
2008-10,3.7,
2009-01,1.2,
2009-04,-2.1,
2009-07,4.8,
2009-10,4.5,
2010-01,7.6,
2010-04,6.3,
2010-07,0.8,
2010-10,5.9,
2011-01,-3.6,
2011-04,-5.6,
2011-07,0.1,
2011-10,4.3,
2012-01,3.2,
2012-04,1.0,
2012-07,2.4,
2012-10,3.6,
2013-01,-5.0,
2013-04,0.7,
2013-07,1.5,
2013-10,-18.2,
2014-01,-1.0,
