"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Purchases / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:58,
1991-01,20427.901,
1991-02,28681.618,
1991-03,18889.012,
1991-04,19144.676,
1991-05,20151.617,
1991-06,19689.725,
1991-07,22733.200,
1991-08,24724.852,
1991-09,17286.374,
1991-10,24832.240,
1991-11,20714.893,
1991-12,20618.577,
1992-01,36799.251,
1992-02,22865.443,
1992-03,22200.171,
1992-04,20749.370,
1992-05,20243.962,
1992-06,22576.877,
1992-07,30858.168,
1992-08,28697.384,
1992-09,56154.067,
1992-10,62258.488,
1992-11,53981.125,
1992-12,64792.715,
1993-01,66705.178,
1993-02,74562.239,
1993-03,86908.477,
1993-04,64253.913,
1993-05,69647.864,
1993-06,84102.248,
1993-07,99856.648,
1993-08,86221.650,
1993-09,101924.976,
1993-10,108029.661,
1993-11,108953.986,
1993-12,110388.983,
1994-01,99721.777,
1994-02,83778.691,
1994-03,110050.967,
1994-04,77772.277,
1994-05,84439.192,
1994-06,99154.069,
1994-07,83422.964,
1994-08,78597.344,
1994-09,95244.901,
1994-10,76333.337,
1994-11,74149.688,
1994-12,62228.670,
1995-01,78110.920,
1995-02,84950.679,
1995-03,113565.084,
1995-04,76984.634,
1995-05,106755.285,
1995-06,111735.505,
1995-07,82327.610,
1995-08,88862.406,
1995-09,101803.757,
1995-10,95395.878,
1995-11,106491.857,
1995-12,98055.423,
1996-01,131967.509,
1996-02,115915.205,
1996-03,110691.084,
1996-04,86657.708,
1996-05,95154.384,
1996-06,103872.123,
1996-07,109930.893,
1996-08,110132.182,
1996-09,118730.875,
1996-10,112459.626,
1996-11,115438.066,
1996-12,105475.593,
1997-01,149971.996,
1997-02,124306.486,
1997-03,127879.111,
1997-04,129611.623,
1997-05,108000.785,
1997-06,146987.262,
1997-07,161314.971,
1997-08,139025.464,
1997-09,155389.167,
1997-10,163696.634,
1997-11,127070.417,
1997-12,142131.122,
1998-01,183424.023,
1998-02,145354.954,
1998-03,175656.234,
1998-04,166019.358,
1998-05,130713.778,
1998-06,178207.402,
1998-07,179709.478,
1998-08,179527.664,
1998-09,205941.938,
1998-10,168453.820,
1998-11,170486.850,
1998-12,131206.044,
1999-01,147685.224,
1999-02,137521.320,
1999-03,175023.808,
1999-04,156780.491,
1999-05,131337.324,
1999-06,180020.844,
1999-07,161529.457,
1999-08,139237.823,
1999-09,168633.808,
1999-10,159169.398,
1999-11,179903.578,
1999-12,156434.894,
2000-01,174815.183,
2000-02,203097.779,
2000-03,240549.386,
2000-04,151904.178,
2000-05,184164.845,
2000-06,236520.016,
2000-07,167659.035,
2000-08,158365.139,
2000-09,207572.357,
2000-10,202018.674,
2000-11,194400.348,
2000-12,199582.355,
2001-01,237006.111,
2001-02,223003.040,
2001-03,280762.368,
2001-04,206786.305,
2001-05,254971.190,
2001-06,278010.573,
2001-07,223567.233,
2001-08,203352.153,
2001-09,224734.725,
2001-10,220015.078,
2001-11,241191.738,
2001-12,176504.960,
2002-01,237179.858,
2002-02,186281.912,
2002-03,212689.305,
2002-04,199438.830,
2002-05,210703.419,
2002-06,219581.137,
2002-07,233069.259,
2002-08,203190.156,
2002-09,205006.426,
2002-10,230589.289,
2002-11,208350.483,
