"",BBK01.OEBB13U,BBK01.OEBB13U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:04,
2002-01,1.388,
2002-04,1.373,
2002-07,1.363,
2002-10,1.423,
2003-01,1.406,
2003-04,1.389,
2003-07,1.367,
2003-10,1.364,
2004-01,1.348,
2004-04,1.339,
2004-07,1.332,
2004-10,1.323,
2005-01,1.332,
2005-04,1.337,
2005-07,1.324,
2005-10,1.296,
2006-01,1.302,
2006-04,1.315,
2006-07,1.311,
2006-10,1.292,
2007-01,1.269,
2007-04,1.230,
2007-07,1.209,
2007-10,1.231,
2008-01,1.187,
2008-04,1.179,
2008-07,1.162,
2008-10,1.163,
2009-01,1.151,
2009-04,1.533,
2009-07,1.502,
2009-10,1.489,
2010-01,1.470,
2010-04,1.464,
2010-07,1.454,
2010-10,1.439,
2011-01,1.509,
2011-04,1.500,
2011-07,1.471,
2011-10,1.449,
2012-01,1.443,
2012-04,1.482,
2012-07,1.472,
2012-10,1.443,
2013-01,1.435,
2013-04,1.429,
2013-07,1.538,
2013-10,1.551,
2014-01,1.524,
2014-04,1.461,
2014-07,1.468,
