"",BBK01.OEAF01M,BBK01.OEAF01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:25,
2002-01,93.854,
2002-04,94.640,
2002-07,96.761,
2002-10,97.706,
2003-01,99.247,
2003-04,100.691,
2003-07,102.659,
2003-10,102.373,
2004-01,102.476,
2004-04,102.907,
2004-07,102.046,
2004-10,102.160,
2005-01,106.958,
2005-04,108.001,
2005-07,109.393,
2005-10,110.321,
2006-01,110.384,
2006-04,112.974,
2006-07,113.679,
2006-10,113.516,
2007-01,115.606,
2007-04,112.763,
2007-07,113.131,
2007-10,112.776,
2008-01,111.418,
2008-04,111.712,
2008-07,110.928,
2008-10,110.691,
2009-01,110.711,
2009-04,112.726,
2009-07,113.709,
2009-10,113.592,
2010-01,113.128,
2010-04,113.271,
2010-07,113.897,
2010-10,114.054,
2011-01,113.403,
2011-04,113.254,
2011-07,113.080,
2011-10,113.085,
2012-01,112.832,
2012-04,113.720,
2012-07,114.302,
2012-10,114.650,
2013-01,113.770,
2013-04,114.432,
2013-07,114.925,
2013-10,115.328,
2014-01,115.334,
2014-04,115.116,
2014-07,116.013,
